wertlos;worthless
beschreiben;to describe
Mehl, Grieß, Graupe, Essen, Fraß, Mahlzeit;meal
Einkaufsstraße;shopping street
frankieren;to prepay, to put on stamps
Sitzung, Versammlung, Zusammenkunft;meeting
alarmieren;to sound the alarm, to raise the alarm
üben, einüben;to exercise, to practise
erzeugen, hervorbringen, produzieren, realisieren, verwirklichen;to produce
Armbanduhr, Uhr;watch
Verzweiflung;despair
Ahn, Vorfahr, Urahn;forefather
Campingplatz, Zeltplatz;camping site, camping ground
Akkord, Abkommen, Einklang, Übereinkommen, Übereinstimmung, Übereinkunft;accordance, concurrence
Dankbarkeit, Dank;gratitude
entgegenkommen, gefällig sein, freundlich sein;to do a favor, to do a favour
Kleingeld, Wechsel, Abwechslung, Änderung, Tausch, Veränderung;change
Reiseführer;handbook
fraglich, zweifelhaft;doubtful
Verehrerin, Bewunderin, Verehrer, Bewunderer;admirer
Müllhalde, Schutthalde;garbage dump
blödsinnig, stumpfsinnig, albern, dumm;stupid
Rakete;rocket
Hygiene, Gesundheitspflege;hygiene
betreffs, anbelangt, betreffend, über, von, nahe, annähernd, etwa, ungefähr, um, um ... herum, gegen, umher, zirka;about
Preußen;Prussia
pfeifen;to whistle
gleich, gleichfalls;equally
Standpunkt;viewpoint, point of view
wahren, begünstigen, schützen, beschützen, beschirmen, bergen, schirmen;to protect
Bote;advertiser
Verehrerin;female worshipper, female adorer
halten, anhalten, Halt machen, stocken, stoppen, bremsen, sperren, abstellen, aufhören, beenden, unterbrechen;to stop
Bohne, Gartenbohne;haricot
entschlüsseln;to decode
Virus;virus
konservativ, bewahrend;conservative
Schlafanzug;pyjamas
Lade, Schublade, Tischlade;drawer
amen;amen
borgen, leihen, darleihen, entlehnen, verleihen;to lend
Konto, Bankkonto;bank account, banking account
Handlung, Tat, Tätigkeit, Beschäftigung;activity
verbessern;to amend
Autobahn, Schnellstraße;turnpike, super highway
metallisch, Metall;metal
gleichlaufend, parallel;parallel
Angeklagter;accused, defendant
Schwieger-;-in-law, by marriage
sich unterwerfen;to humble oneself, to abase oneself
Lenkrad, Steuer, Steuerrad;joystick
anfangen, beginnen, antun, bewirken, veranlassen, verursachen, zufügen;to activate
Säge;saw
Mallorca;Majorca
verfassungsmäßig, konstitutionell, verfasst, verfassungsgemäß;constitutional
Schutz;aegis
Winter-, winterlich;winter-, of the winter
Scheidung;divorce
Neigung, Veranlagung, Disposition;predisposition
Abteilung;detachment, partition
Tagung, Session;session
Benzintank;gas tank, petrol tank
Einer, Einheit;unit
einigermaßen, irgendwie;anyway, somehow
losgehen, aufbrechen;to start out
Steckenpferd, Freizeitbeschäftigung, Hobby;hobby
bald ... bald;sometimes ... sometimes
Zwiebel;onion
Abgrund, Tiefe;chasm
Witz;witticism
Illustration;illustration
Anhänger;trailer
Diebstahl;theft
Graben, Loch;hole
Lage;site
Huf;hoof
Ankündigung, Bekanntmachung, Benachrichtigung;notification
verdünnen;to dilute
Entwurf, Konzept, Kladde;rough draft
Bulgarien;Bulgaria
Wecker;alarmclock
Freiwilliger, Freiwillige;volunteer
Hochmut, Stolz;pride
entstehen, auftreten, aufkommen, werden, aufgehen, sich erheben, steigen;to arise
anpassungsfähig;adaptable
Traktat, Vertrag;contract
Amateur, Liebhaber, Laie;amateur
landwirtschaftlich;farm-
Kante, Kamm;mountain ridge
Wucher;profiteering, usury
Diskette;diskette
anläuten, klingeln, anklingeln;to give a ring, to ring the bell
ironisch;ironic
Opfer;victim
Sehnen, Sehnsucht;longing
heben, aufheben, erheben, zücken;to lever
intensiv;intense, intensive
verfolgen, jagen, fahnden;to pursue
angrenzend, anstoßend, benachbart;adjacent
Leitung, Führung;steering
Slowakei;Slovakia
achtgeben, aufpassen, beachten, zusehen, Aufmerksamkeit schenken;to pay attention to
Nacht-, nächtlich;nocturnal
impfen;to vaccinate
Pizza;pizza
Chemie;chemistry
bestimmen, definieren;to define
Backofen, Herd, Ofen;oven
Küken;chick
bezwecken, trachten nach, zielen, beabsichtigen, zielen auf, sich anstrengen, sich bemühen, sich abmühen, sich Mühe geben;to aim
entäußern, fortlassen, überlassen, unterlassen;to forsake
Fallschirm;parachute
bürgerlich, städtisch;civic
Geliebte, Schatz, Liebste, Liebster;sweetheart
Gefangener;captive, prisoner
Grube, Höhle;cavern
Symptom;symptom
schließen, verschließen, zuschließen;to lock
abhanden;lost
Schweden;Sweden
Kabel;cable
agitieren, anfeuern, aufregen, anregen, ermutigen, erregen, ergreifen, rühren, berühren, beängstigen, beunruhigen, rütteln, schütteln, schüttern, erschüttern;to agitate
Abfall;cuttings, windfall, clippings, parings
Gulasch;goulash
mähen, abmähen, hacken, hauen, zuschneiden, scheren, abscheren, schneiden, abschneiden;to cut
Verkündung, Deklaration, Erklärung, Angabe, Anzeige, Proklamation;proclamation
Verfahren;procedure
Rezept;prescription, recipe
Byte;byte
Fußball;soccer ball, soccer
Reicher;rich man
anspruchslos, bescheiden, prüde, zimperlich;modest
numerieren;to assign a number
allemal, jedesmal;each time, every time
stenografieren;to write shorthand
grausam;cruel
Behauptung, Äußerung, Gesinnung, Meinung;contention
französisch, Französisch, französische Sprache;French
Andrang, Antrieb, Impuls;impulse
zumeist;at most
Telegramm;telegram
aktuell, gegenwärtig, Geschenk, Spende, Vermächtnis, heutig, jetzig, anwesend;present
Pessimismus;pessimism
Leber;liver
Erdbeschreibung, Erdkunde, Geographie;geography
Adressat, Empfänger;addressee
hilfreich, Hilfs-;auxiliary
Fahrrad fahren;to cycle
angreifen, anfallen;to commit aggression
taubstumm;deaf and dumb
Berühmtheit;glory
köstlich, schmackhaft;delicious
Durchmesser;diameter
schätzen, würdigen, achten, mögen, wertschätzen;to appreciate
Rhythmus;rhythm
Auftrag, Bestellung, Kommission;errand, commission
Lob;praise
anziehend, attraktiv;attractive
Verweigerung, Weigerung;refusal
landwirtschaftlich;agricultural
Gebrechen, Elend;ordeal
gellen, klingen, läuten, tönen;to sound
herantreten, herangehen, sich nähern, anfangen, beginnen, bevorstehen;to come on
ein wenig, etwas, ziemlich, ein bisschen, allerdings, freilich, immerhin, ja, ja doch, wohl, zwar, inmitten, vielmehr, am liebsten, lieber, genug, genügend, hinlänglich;rather
Erziehung, Zucht, Züchtung, Unterricht;education
Biene;bee
Stiftung, Fundament, Grundlage, Boden, Grund;foundation
ändern, umändern, verändern, sich ändern;to alter
freundlich, liebenswürdig, delikat, fein, zart;dainty
Abwesenheit;non-attendance
Erdgeschoss;ground floor, ground-floor
Vieh, Tier, Bestie, brutal;brute
sieben;seven, to sift
vollzählig, vollkommen, komplett, vollständig, vollständiger (Raum), voll;complete
Abkunft, Abstammung, Herkunft, Ursprung;lineage
Beefsteak;steak, beefsteak
Therapie;therapy
Ursprung;origin
Abenteuer;adventure
übertragen, ausstrahlen, verbreiten;to broadcast
betreffs, anbelangt, betreffend, über, von, bezüglich;concerning
trachten nach, sich anstrengen, sich bemühen, sich abmühen, sich Mühe geben;to endeavour
Hauptmann, Kapitän;captain
Barmherzigkeit;mercifulness
X-Achse, Abszisse;abscissa
Abteil, Coupé, Kupee;coupé
rasieren, abschaben;to shave off
Mohammed;Muhammad, Mohammed
Ermutigung, Ermunterung;encouragement
auffassen, wahrnehmen, finden, befinden, erachten, ermitteln, vorfinden;to find
Nachthemd;nightie, night-dress, night-shirt, night-gown
-bar, -lich, -wert;-able, -ible
Erwerb, Errungenschaft, Neuerwerbung, Neuanschaffung, Beute, Kauf, Einkauf;acquisition
beten;to pray
sich erstrecken, eilen, rennen, laufen;to run
backen;to bake
Schwiegersohn;son-in-law
Stiller Ozean, Pazifik;Pacific, Pacific Ocean
Bischof;bishop
erscheinen;to emerge
Sabbat, Samstag, Sonnabend;Sabbath
Tropfen;drop
sich gedulden;to be patient
Beute, Errungenschaft, Erwerb;asset
Ballspiel;ballgame
entfernt, entlegen, fern, weit;far
rechtwinklig;right-angle
Kapitel;chapter
Spritze;syringe
Altertum;antiquity
gründlich, triftig;fundamental
vervollständigen;to complete
Lafette, Karosse, Kutsche, Bahnwagen, Wagen, Waggon;carriage
schwedisch;Swedish
deklamieren, vortragen;to declaim
