worthless;wertlos
to describe;beschreiben
meal;Mehl, Grieß, Graupe, Essen, Fraß, Mahlzeit
shopping street;Einkaufsstraße
to prepay, to put on stamps;frankieren
meeting;Sitzung, Versammlung, Zusammenkunft
to sound the alarm, to raise the alarm;alarmieren
to exercise, to practise;üben, einüben
to produce;erzeugen, hervorbringen, produzieren, realisieren, verwirklichen
watch;Armbanduhr, Uhr
despair;Verzweiflung
forefather;Ahn, Vorfahr, Urahn
camping site, camping ground;Campingplatz, Zeltplatz
accordance, concurrence;Akkord, Abkommen, Einklang, Übereinkommen, Übereinstimmung, Übereinkunft
gratitude;Dankbarkeit, Dank
to do a favor, to do a favour;entgegenkommen, gefällig sein, freundlich sein
change;Kleingeld, Wechsel, Abwechslung, Änderung, Tausch, Veränderung
handbook;Reiseführer
doubtful;fraglich, zweifelhaft
admirer;Verehrerin, Bewunderin, Verehrer, Bewunderer
garbage dump;Müllhalde, Schutthalde
stupid;blödsinnig, stumpfsinnig, albern, dumm
rocket;Rakete
hygiene;Hygiene, Gesundheitspflege
about;betreffs, anbelangt, betreffend, über, von, nahe, annähernd, etwa, ungefähr, um, um ... herum, gegen, umher, zirka
Prussia;Preußen
to whistle;pfeifen
equally;gleich, gleichfalls
viewpoint, point of view;Standpunkt
to protect;wahren, begünstigen, schützen, beschützen, beschirmen, bergen, schirmen
advertiser;Bote
female worshipper, female adorer;Verehrerin
to stop;halten, anhalten, Halt machen, stocken, stoppen, bremsen, sperren, abstellen, aufhören, beenden, unterbrechen
haricot;Bohne, Gartenbohne
to decode;entschlüsseln
virus;Virus
conservative;konservativ, bewahrend
pyjamas;Schlafanzug
drawer;Lade, Schublade, Tischlade
amen;amen
to lend;borgen, leihen, darleihen, entlehnen, verleihen
bank account, banking account;Konto, Bankkonto
activity;Handlung, Tat, Tätigkeit, Beschäftigung
to amend;verbessern
turnpike, super highway;Autobahn, Schnellstraße
metal;metallisch, Metall
parallel;gleichlaufend, parallel
accused, defendant;Angeklagter
-in-law, by marriage;Schwieger-
to humble oneself, to abase oneself;sich unterwerfen
joystick;Lenkrad, Steuer, Steuerrad
to activate;anfangen, beginnen, antun, bewirken, veranlassen, verursachen, zufügen
saw;Säge
Majorca;Mallorca
constitutional;verfassungsmäßig, konstitutionell, verfasst, verfassungsgemäß
aegis;Schutz
winter-, of the winter;Winter-, winterlich
divorce;Scheidung
predisposition;Neigung, Veranlagung, Disposition
detachment, partition;Abteilung
session;Tagung, Session
gas tank, petrol tank;Benzintank
unit;Einer, Einheit
anyway, somehow;einigermaßen, irgendwie
to start out;losgehen, aufbrechen
hobby;Steckenpferd, Freizeitbeschäftigung, Hobby
sometimes ... sometimes;bald ... bald
onion;Zwiebel
chasm;Abgrund, Tiefe
witticism;Witz
illustration;Illustration
trailer;Anhänger
theft;Diebstahl
hole;Graben, Loch
site;Lage
hoof;Huf
notification;Ankündigung, Bekanntmachung, Benachrichtigung
to dilute;verdünnen
rough draft;Entwurf, Konzept, Kladde
Bulgaria;Bulgarien
alarmclock;Wecker
volunteer;Freiwilliger, Freiwillige
pride;Hochmut, Stolz
to arise;entstehen, auftreten, aufkommen, werden, aufgehen, sich erheben, steigen
adaptable;anpassungsfähig
contract;Traktat, Vertrag
amateur;Amateur, Liebhaber, Laie
farm-;landwirtschaftlich
mountain ridge;Kante, Kamm
profiteering, usury;Wucher
diskette;Diskette
to give a ring, to ring the bell;anläuten, klingeln, anklingeln
ironic;ironisch
victim;Opfer
longing;Sehnen, Sehnsucht
to lever;heben, aufheben, erheben, zücken
intense, intensive;intensiv
to pursue;verfolgen, jagen, fahnden
adjacent;angrenzend, anstoßend, benachbart
steering;Leitung, Führung
Slovakia;Slowakei
to pay attention to;achtgeben, aufpassen, beachten, zusehen, Aufmerksamkeit schenken
nocturnal;Nacht-, nächtlich
to vaccinate;impfen
pizza;Pizza
chemistry;Chemie
to define;bestimmen, definieren
oven;Backofen, Herd, Ofen
chick;Küken
to aim;bezwecken, trachten nach, zielen, beabsichtigen, zielen auf, sich anstrengen, sich bemühen, sich abmühen, sich Mühe geben
to forsake;entäußern, fortlassen, überlassen, unterlassen
parachute;Fallschirm
civic;bürgerlich, städtisch
sweetheart;Geliebte, Schatz, Liebste, Liebster
captive, prisoner;Gefangener
cavern;Grube, Höhle
symptom;Symptom
to lock;schließen, verschließen, zuschließen
lost;abhanden
Sweden;Schweden
cable;Kabel
to agitate;agitieren, anfeuern, aufregen, anregen, ermutigen, erregen, ergreifen, rühren, berühren, beängstigen, beunruhigen, rütteln, schütteln, schüttern, erschüttern
cuttings, windfall, clippings, parings;Abfall
goulash;Gulasch
to cut;mähen, abmähen, hacken, hauen, zuschneiden, scheren, abscheren, schneiden, abschneiden
proclamation;Verkündung, Deklaration, Erklärung, Angabe, Anzeige, Proklamation
procedure;Verfahren
prescription, recipe;Rezept
byte;Byte
soccer ball, soccer;Fußball
rich man;Reicher
modest;anspruchslos, bescheiden, prüde, zimperlich
to assign a number;numerieren
each time, every time;allemal, jedesmal
to write shorthand;stenografieren
cruel;grausam
contention;Behauptung, Äußerung, Gesinnung, Meinung
French;französisch, Französisch, französische Sprache
impulse;Andrang, Antrieb, Impuls
at most;zumeist
telegram;Telegramm
present;aktuell, gegenwärtig, Geschenk, Spende, Vermächtnis, heutig, jetzig, anwesend
pessimism;Pessimismus
liver;Leber
geography;Erdbeschreibung, Erdkunde, Geographie
addressee;Adressat, Empfänger
auxiliary;hilfreich, Hilfs-
to cycle;Fahrrad fahren
to commit aggression;angreifen, anfallen
deaf and dumb;taubstumm
glory;Berühmtheit
delicious;köstlich, schmackhaft
diameter;Durchmesser
to appreciate;schätzen, würdigen, achten, mögen, wertschätzen
rhythm;Rhythmus
errand, commission;Auftrag, Bestellung, Kommission
praise;Lob
attractive;anziehend, attraktiv
refusal;Verweigerung, Weigerung
agricultural;landwirtschaftlich
ordeal;Gebrechen, Elend
to sound;gellen, klingen, läuten, tönen
