Drop me a line!;Schreib mir mal ein paar Zeilen!
in a little while;in kurzer Zeit
On with the show!;Weiter im Programm!
to walk on air;sich wie im siebten Himmel fühlen
That's a feather in his cap!;Darauf kann er stolz sein!
I couldn’t get a word in edge-wise.;Ich konnte nicht zu Worte kommen.
to be on duty;Dienst haben
crescent moon;Sichelmond
for an appropriate fee;gegen angemessenes Honorar
to put a jerk in it;tüchtig rangehen
some news of importance;eine wichtige Nachricht
in deep water;in der Klemme
to keep it private;es für sich behalten
to blaze the trail;den Weg markieren
I was terribly bored!;Ich langweilte mich furchtbar!
She's a bad sailor.;Sie wird leicht seekrank.
a good many;eine ganze Menge
He's clean-shaven.;Er ist glattrasiert.
Now you're talking sense!;Jetzt redest du vernünftig!
The disease is contagious.;Die Krankheit ist ansteckend.
once in a while;gelegentlich
to dress a wound;eine Wunde verbinden
not to have the vaguest notion of;nicht die leiseste Ahnung haben von
to give trouble;Ärger machen
at the first opportunity;bei erster Gelegenheit
quality good;Qualitätswaren
most commonly used;am häufigsten gebraucht
I've no preference.;Das ist mir einerlei.
I won't stand that!;Das verbitte ich mir!
the trouble is;das Problem ist
Don't be so fussy!;Sei nicht so zimperlich!
It never rains but it pours.;Ein Unglück kommt selten allein.
to the top of one's bent;nach Herzenslust
to keep waiting;warten lassen
to see how the wind blows / to see which way the wind blows;sehen, wie der Hase läuft
You look well!;Sie sehen gut aus!
to be pressed for money;in Geldverlegenheit sein / knapp bei Kasse sein
Tell us another!;Das können Sie uns nicht erzählen!
I carried my point.;Ich setzte meinen Willen durch.
heavy traffic;starker Verkehr
He slept away the day.;Er verschlief den Tag.
However you do it.;Wie Sie es auch immer machen.
today’s arrangements;die heutigen Veranstaltungen
That's splitting hairs!;Das ist Haarspalterei!
He's on the mend.;Er ist auf dem Weg zur Besserung.
a word in your ear;ein Wort im Vertrauen
for want of;mangels / in Ermangelung
The game is not worth the candle.;Die Sache lohnt nicht.
You never can tell!;Man kann nie wissen!
We are near relatives.;Wir sind nahe verwandt.
It isn't my job.;Das ist nicht meine Aufgabe.
a major difference;ein wesentlicher Unterschied
in proper style;stilecht
over rough and smooth;über Stock und Stein
You've asked for it.;Sie haben es heraufbeschworen.
straight from the horse's mouth;aus erster Hand / aus gut unterrichteter Quelle / direkt von der Quelle
to look for a flat;eine Wohnung suchen
He's a decent fellow.;Er ist ein anständiger Mensch.
He is shy of money [Am].;Er hat zu wenig Geld. / Ihm fehlt es an Geld.
That's strictly forbidden!;Das ist streng verboten!
at the end of one's tether;am Ende seiner Kraft
You can't fool me!;Du kannst mir nichts vormachen!
as mute as a maggot;stumm wie ein Fisch
next door to;nebenan
know-all / smart aleck / whippersnapper / smart ass fam;Klugscheißer
board and lodging;Unterkunft und Verpflegung
It's carrying things too far.;Das ist zu viel gesagt.
to submit an offer;ein Angebot unterbreiten
manpower shortage;Mangel an Arbeitskräften
The ball's in your court!;Jetzt sind Sie dran!
I'll never make it.;Ich werde es nie schaffen.
Owing to the rain we couldn't come.;Infolge des Regens konnten wir nicht kommen.
I don't care a fig for it.;Ich mache mir nichts daraus.
That's a matter of opinion.;Das ist Ansichtssache.
would-be poet;(Pseudo-Dichter)
What a shame!;So eine Schande!
He sprained his ankle.;Er hat den Fuß verstaucht.
to be up to date;auf dem Laufenden sein
to turn everything topsy-turvy;alles auf den Kopf stellen
by this means;auf diese Weise
to get something going;etwas auf die Beine bringen
His face fell.;Er machte ein langes Gesicht.
He has no kick left!;Er hat keinen Schwung mehr!
His dreams came true.;Seine Träume erfüllten sich.
Mind the step!;Vorsicht Stufe!
The sense escapes me.;Der Sinn leuchtet mir nicht ein.
rush hour;Hauptverkehrszeit
to heap reproaches on;jemanden mit Vorwürfen überhäufen
These pills did me no good.;Diese Tabletten halfen mir nicht.
Put something by for a rainy day!;Legen Sie etwas für schlechte Zeiten zurück!
He asked to be excused.;Er ließ sich entschuldigen.
There's a draught!;Es zieht!
a paltry three shillings;lumpige drei Schillinge
a good reputation;ein guter Ruf
With tender and loving care she follows him.;In liebevoller Sorge begleitet sie ihn.
Wait your turn!;Warten Sie, bis Sie dran sind!
at face value;für bare Münze
to vanish into thin air;von der Bildfläche verschwinden
from the shoulder;geradeheraus
dare-devil;Draufgänger
He gets away with everything!;Er kann sich alles erlauben!
to pay damages;Schadenersatz zahlen
We're only pretending.;Wir tun nur so.
to report sick;sich krank melden
to see life;das Leben kennen lernen
to do harm;Schaden anrichten
He won't set the Thames on fire.;Er reißt sich keine Beine aus. / Der reißt keine Bäume aus.
higgledy-piggledy;drunter und drüber
to make the best of a bad job;retten, was zu retten ist / gute Miene zum bösen Spiel machen
I can do it on my head.;Das mache ich im Schlaf.
to turn over a new leaf;ein neues Leben beginnen / ein neues Kapitel aufschlagen
Thanks for calling!;Vielen Dank für Ihren Anruf!
a drop in the bucket;ein Tropfen auf den heißen Stein
a daughter of Eve;eine typische Frau
like a duck takes the water;mit der größten Selbstverständlichkeit
not even a suggestion of fatigue;nicht die leichteste Spur von Müdigkeit
the other day;neulich
over and over again / time and again;immer wieder
to be ungrudging in;reichlich Lob spenden
You've no idea!;Sie machen sich keinen Begriff!
fit only for a knocker's yard;reif zum Verschrotten
You ought to be ashamed of yourself!;Sie sollten sich schämen!
to add up figures;Zahlen zusammenzählen
in the lap of luxury;von Luxus umgeben
crocodile tears / false tears;Krokodilstränen
He talks Billingsgate.;Er flucht wie ein Landsknecht.
Keep your tail up!;Lass dich nicht unterkriegen!
to put in train;in Gang setzen
He's a heavy drinker.;Er trinkt viel.
It's in her nature.;Es liegt ihr in der Natur.
in broad daylight;mitten am Tage / am helllichten Tag
You can talk!;Du hast gut reden!
She has not a rag to put on.;Sie hat nichts zum Anziehen.
She gave herself up to him.;Sie gab sich ihm hin.
subject to a month's notice;mit monatlicher Kündigung
I had a job to do it.;Es fiel mir recht schwer.
to go like a bull at a gate;mit der Tür ins Haus fallen
I got soaked to the skin.;Ich wurde bis auf die Haut nass.
a dark secret;ein dunkles Geheimnis
The train is already due.;Der Zug müsste schon da sein.
to soften;leiser werden
to try to suit everybody;es allen Leuten recht machen wollen
Don't be cross with me.;Sei mir nicht böse.
mere window-dressing;nur fürs Auge
on the high seas;auf hoher See
the ravages of time;der Zahn der Zeit
She had pity on him.;Sie hatte Mitleid mit ihm.
It's due to him.;Es ist ihm zu verdanken.
in a nutshell;kurz zusammengefasst
only too well;nur zu gut
enough and to spare;mehr als genug
That's nothing to you! / That's none of your business! / That doesn't regard you!;Das geht Sie nichts an!
He's an awful bore.;Er ist schrecklich langweilig.
to resolve a problem / to solve a problem / to put the axe in the helve;ein Problem lösen
instruction manual;Bedienungsanleitung
He has a sharp tongue.;Er hat Haare auf den Zähnen.
in the twinkling of an eye / before you can say Jack Robinson;im Handumdrehen
to jump the queue;sich vordrängeln
to try hard;sich die größte Mühe geben
to pursue a policy;eine Politik verfolgen
beneath notice;nicht der Beachtung wert
a perfect dream;traumhaft schön
Don't beat about the bush!;Reden Sie nicht um den heißen Brei herum!
That's the limit!;Das ist die Höhe!
He throws his cap over the mill.;Er baut Luftschlösser.
to be flabbergasted;baff sein
lucky beggar / lucky dog;Glückspilz
at a push;im Notfall
in the long run;auf die Dauer / auf lange Sicht
It's clear as daylight.;Es ist klipp und klar.
What remains to be done?;Was kann man noch tun?
to go to the polls;zur Wahl gehen
You've a day off!;Sie haben einen Tag frei!
under repair;in Reparatur
I put all my eggs in one basket.;Ich setze alles auf eine Karte.
a naughty little beggar;ein kleiner Schelm
I'll see to it at once!;Ich werde mich sofort darum kümmern!
He's round the bend. fam;Er hat einen Klaps.
Of what avail is it?;Was nützt es?
once for all;ein für allemal
one in the eye;ein Denkzettel
with kith and kin;mit Kind und Kegel
to be as cool as a cucumber;die Ruhe selbst sein
He brought home the bacon.;Er hat es geschafft.
She has no feeling for art!;Sie hat kein Kunstempfinden!
as good as a play;äußerst amüsant
to go into the matter;der Sache nachgehen
to sue for a divorce;auf Scheidung klagen
Can I give you a hand?;Darf ich Ihnen behilflich sein?
common speech;Umgangssprache
to give a broad hint;einen Wink mit dem Zaunpfahl geben
He can't take a joke.;Er versteht keinen Spaß.
It offends my eye.;Das beleidigt mein Auge.
Did you have a nice time?;Haben Sie sich gut unterhalten?
to make inquiries (about);Erkundigungen einziehen (über)
to live on the fat of the land;in Saus und Braus leben
I can't make head or tail of it.;Ich kann nicht klug daraus werden.
That's over / above my head.;Das geht über meinen Horizont / Verstand.
to answer the phone;ans Telefon gehen
nothing on earth;keine Macht der Welt
They sympathize with him.;Sie verstehen ihn.
She's back home.;Sie ist wieder zu Hause.
to all appearances;allem Anschein nach
to get the shock of one’s life / to be for the high jump;sein blaues Wunder erleben
to be air-sick;luftkrank sein
It's past comprehension.;Es geht über alle Begriffe.
with regard to;in bezug auf
She's bent on going.;Sie ist entschlossen zu gehen.
at any rate / at any case;auf jeden Fall
the only way out;der einzige Ausweg
a dish of ice-cream;eine Portion Eis
to order one's affairs;seine Angelegenheiten in Ordnung bringen
The moon is waning.;Der Mond nimmt ab.
They invited friend and foe.;Sie luden Freund und Feind ein.
glamour-girl;Reklameschönheit
to wear the breeches;die Hosen anhaben
He just escaped being killed.;Er entging knapp dem Tode.
I am fond of reading.;Ich lese sehr gern.
state of health;Gesundheitszustand
on equal terms;zu gleichen Bedingungen / auf gleiche Weise
to make a fortune;ein Vermögen machen
to ring off;den Hörer auflegen
Nobody cares two hoots about it!;Danach kräht kein Hahn!
I envy your calm!;Ich beneide Sie um Ihre Ruhe!
fair average;guter Durchschnitt
I'm in no laughing mood.;Es ist mir nicht zum Lachen.
He tried to palm it off on me.;Er versuchte es mir anzudrehen.
She drove me crazy.;Sie brachte mich auf die Palme.
He's gone for a few days.;Er ist ein paar Tage verreist.
You've got me there.;Da hast du mich drangekriegt.
The fat is in the fire!;Der Teufel ist los!
For me she's too frivolous.;Mir ist sie zu leichtsinnig.
to go the whole hog;aufs Ganze gehen
That will do.;Das genügt.
to be in a blue funk;die Hosen voll haben
We shall not know until next year.;Wir können es erst im nächsten Jahr erfahren.
Don't bother me!;Lass mich in Frieden!
That's saying a lot.;Das will viel sagen.
as things are now;beim augenblicklichen Stand der Dinge
Don't I know it!;Und ob ich es weiß!
loyal and faithful;höchst zuverlässig
I can't tell you off-hand.;Auswendig kann ich Ihnen nichts sagen.
He was an out and out student.;Er war durch und durch Student.
the straight tip;der richtige Tipp
Don't look like that!;Schau nicht so dumm!
on the nod;auf Pump
to run out of something;etwas wird knapp (Vorräte etc.)
to be a blockhead;ein Brett vor dem Kopf haben
I don't see your conclusion.;Ihre Schlussfolgerung leuchtet mir nicht ein.
I'm fed up with it! / I'm tired of it!;Ich habe es satt!
administrative organization;Verwaltungsapparat
No smoke without a fire.;Irgendetwas ist immer dran.
He simply doesn't count.;Er zählt überhaupt nicht.
at first blush / at first sight;auf den ersten Blick
to have strong feelings about;sich aufregen über
It's perfectly silly!;Es ist völlig töricht!
a fast friend;ein treuer Freund
We've missed you badly!;Sie haben uns sehr gefehlt!
for lack of;aus Mangel an
with a proven record of success;mit nachweisbaren Erfolgen
to have a lot in common;vieles gemeinsam haben
She's grown very thin.;Sie ist sehr mager geworden.
to be dead-on / to hit the bull's-eye / to hit the nail on the head / to hit the mark / to take the biscuit;den Nagel auf den Kopf treffen / ins Schwarze treffen / zutreffend sein
red tape;Bürokratismus
He hasn't got it in him.;Er hat nicht das Zeug dazu.
She's weak in French.;Sie ist schwach in Französisch.
off the record;nicht offiziell
to eat to repletion;sich voll essen
The line is busy / engaged / occupied.;Die Leitung ist besetzt. / Das Telefon ist besetzt.
to pay attention;aufpassen
to go a long way round;einen großen Umweg machen
I paid him out in his own coin.;Ich zahlte es ihm mit gleicher Münze heim.
The period runs.;Die Frist läuft.
That's going too far!;Das geht zu weit!
out of reach;unerreichbar
He’s just / only pretending.;Er tut nur so.
Go to hell! / Drop dead!;Scher dich zum Teufel!
We made him talk.;Wir brachten ihn zum Sprechen.
to feel good;sich wohlfühlen
to be fond of;gern haben
I enjoyed my supper.;Das Abendessen hat mir geschmeckt.
a part-time job;eine Halbtagsstelle / eine Halbtagsarbeit
second class;zweitklassig
idle talk;leeres Gerede
She's dressed up to the nines.;Sie ist piekfein gekleidet.
It's all make-believe.;Das sind keine Tatsachen.
This book makes good reading.;Dieses Buch liest sich gut.
The colours do not match.;Die Farben passen nicht zusammen.
You must be out of your mind!;Du bist wohl nicht recht gescheit!
to be on holiday;im Urlaub sein
to be unconcerned about;sich über etwas keine Gedanken machen
Don't fail to come!;Komm ganz bestimmt!
compulsory military service;allgemeine Wehrpflicht
There's no limit to his ambition.;Sein Ehrgeiz kennt keine Grenzen.
That's not to be sneezed!;Das ist nicht zu verachten!
point of view;Ansicht / Meinung / Gesichtspunkt
Man alive!;Menschenskind!
He is alive and kicking.;Er ist quicklebendig.
The rain passed off.;Es hörte auf zu regnen.
It rings true.;Es klingt richtig.
to enter names on a list;Namen in eine Liste eintragen
to be deeply moved;tief ergriffen sein
a leap in the dark;ein Sprung ins Ungewisse / ein Sprung ins kalte Wasser
to answer the bell;die Tür aufmachen
to make use of;Gebrauch machen von
to join a party;einer Partei beitreten
nice and warm;schön warm
a smooth customer;ein ganz gerissener / durchtriebener Kerl
Job's news;Hiobsbotschaft
We used to live in the country.;Früher wohnten wir auf dem Lande.
It's all haywire!;Es geht drunter und drüber!
I can't help it!;Ich kann nichts dafür!
to lose one's way;sich verirren
the ghost of a chance;die geringste Aussicht
He stroke for home.;Er ging heimwärts.
to rise to speak;das Wort ergreifen
He knows a thing or two.;Er ist gar nicht so dumm.
open winter;frostfreier Winter
happy as a king;kreuzfidel
It can't be helped.;Es lässt sich nicht ändern.
to hit the jackpot;das große Los ziehen
a man of genius;ein genialer Mann
to leave no doubt;keinen Zweifel lassen
drunk as a lord;total blau
Who's the brain behind?;Wessen Idee ist das?
I’m at a loss what to do. / I don’t know what to do.;Ich weiß nicht, was ich tun soll.
a plain sailing;eine klare Sache
It's pouring with rain.;Es gießt in Strömen.
A precious mess!;Eine schöne Unordnung!
for the fun of it / for a lark;zum Spaß
Ask her in.;Bitten Sie sie herein.
There's an end of it!;Schluss damit!
to make a bee-line;geradewegs auf jemanden zugehen
What's the odds?;Was macht es schon aus?
I haven't got a clue.;Mein Name ist Hase. / Ich weiß von nichts.
to butter someone up;jemandem Honig um den Bart schmieren
Those were the days!;Das waren noch Zeiten!
to go out of business;das Geschäft aufgeben
a man of straw;ein Strohmann
to behave in a strange fashion;sich sonderbar benehmen
It's all over.;Es ist zu Ende.
to make a row / to raise hell / to raise the root;Krach schlagen
How do you feel about this? / How does it strike you? / What do you make of it?;Was halten Sie davon?
to win recognition;sich durchsetzen
I chanced to hear it.;Ich hörte es zufällig.
on horseback;zu Pferde
Never mind!;Das macht nichts! / Lass gut sein! / Vergiss es!
at the worst / at worst;schlimmstenfalls
What relation is she to you?;Wie ist sie mit dir verwandt?
a patience of Job;eine Engelsgeduld
grief and despair;verzweiflungsvoller Kummer
every two years;alle zwei Jahre
a strong language;Kraftausdrücke
I'll just drop in for a second.;Ich komme auf einen Sprung vorbei.
She refused to believe it.;Sie wollte es einfach nicht glauben.
It's up to him.;Es ist seine Sache. / Es liegt an ihm.
Go and have a wash!;Geh und wasch dich!
He lacked the courage to do it.;Es fehlte ihm der Mut dazu.
a two-story building;ein zweistöckiges Haus
on records;aktenkundig
He's being helpful.;Er ist hilfsbereit.
to make a motion;einen Antrag stellen
on no condition;unter keiner Bedingung
to go to Mass;zur Messe gehen
to dash to pieces;zerschmettern
to make a good job of it;ganze Arbeit leisten
none the wiser;so klug wie zuvor
without precedent;ohne Beispiel
You're probably aware of it.;Das dürfte Ihnen bekannt sein.
to keep the minutes;das Protokoll führen
change of scene;Tapetenwechsel
She doesn't care a hang.;Das ist ihr völlig schnuppe.
hungry as a hunter;hungrig wie ein Wolf
to spurn one's fortune;sein Glück mit Füßen treten
Give him his due!;Das muss man ihm lassen!
I became familiar with him.;Ich wurde vertraut mit ihm.
on the game / on the streets fam;auf dem Strich
She's in a fever of excitement!;Sie ist in fieberhafter Aufregung!
by the way;übrigens
All jokes aside!;Spaß beiseite!
I stand to win!;Ich gewinne bestimmt!
to miss the point;das Wesentliche nicht begreifen
dead drunk;sinnlos betrunken
He thinks the world of you.;Er hält große Stücke auf Sie.
We happened to see it.;Wir sahen es zufällig.
Paper doesn't blush. / You can say what you like on paper.;Papier ist geduldig.
to give someone time;jemandem Zeit lassen
He's on the dole.;Er geht stempeln.
It escaped my notice.;Ich bemerkte es nicht.
to die away;verklingen
roughly the same;ungefähr das gleiche
to deliver a speech;eine Rede halten
It's not in him.;Es liegt ihm nicht.
She came last.;Sie kam als letzte.
black despair;völlige Verzweiflung
out of order;außer Betrieb
after careful consideration;nach reiflichem Nachdenken
housing shortage;Wohnungsnot
to arrive at a decision;zu einer Entscheidung gelangen
to take in cash;Bargeld einnehmen
to have a nerve;mutig sein
to hold elections;Wahlen durchführen
That cuts no ice with me.;Damit können Sie bei mir nicht landen.
He's on his beat.;Er macht die Runde.
He found plenty of work to do.;Er fand viel Arbeit vor.
You carry things too far.;Du treibst die Dinge zu weit.
I've other fish to fry!;Ich habe Wichtigeres zu tun!
to set time and place;Zeit und Ort bestimmen
What do you do in your spare time?;Wie verbringen Sie Ihre Freizeit?
not worth a straw / not worth a rush;keinen Pfifferling wert
to put one's foot down;energisch auftreten
The whole thing looks fishy.;Die ganze Sache sieht verdächtig aus.
at the roadside;am Straßenrand
The news is good.;Die Nachricht ist gut.
lots of lolly;eine Menge Kies
the very same;genau derselbe
It's a beastly shame.;Es ist eine Affenschande.
That's not half bad!;Das ist nicht ohne!
He's a thorn in my side / flesh.;Er ist mir ein Dorn im Auge.
on foot;zu Fuß
He failed to appear.;Er erschien nicht.
in good conditions;in gutem Zustand
