(mixed) ability;(unterschiedliche) Begabung / Fähigkeiten;Education(MSW);Englisch
(school) report;Zeugnis;Education(MSW);Englisch
academic standard;schulisches Niveau;Education(MSW);Englisch
academic subject;natur- oder geisteswissenschaftliches Schulfach;Education(MSW);Englisch
A-Level (= Advanced Level);etwa: Abitur;Education(MSW);Englisch
apprenticeship  --  apprentice;Lehre  --  Lehrling, Auszubildende/r;Education(MSW);Englisch
appropriate (to sth.);(einer Sache) angemessen;Education(MSW);Englisch
Art;Kunst;Education(MSW);Englisch
assembly hall;Aula;Education(MSW);Englisch
average (noun/adj.)  --  on average;Durchschnitt, durchschnittlich  --  im Durchschnitt;Education(MSW);Englisch
bicycle shed;Fahrradschuppen, Fahrradunterstand;Education(MSW);Englisch
Biology;Biologie;Education(MSW);Englisch
boarding school;Internat;Education(MSW);Englisch
Business Studies;Wirtschaftskunde;Education(MSW);Englisch
cafeteria;Cafeteria;Education(MSW);Englisch
career;Laufbahn, Beruf, Karriere;Education(MSW);Englisch
Chemistry;Chemie;Education(MSW);Englisch
choir practice;Chorprobe;Education(MSW);Englisch
class test;Klassenarbeit;Education(MSW);Englisch
classroom;Klassenzimmer;Education(MSW);Englisch
co-educational (school);(Schule) für Mädchen und Jungen;Education(MSW);Englisch
college;Fachschule, Berufsschule;Education(MSW);Englisch
comprehensive school;Gesamtschule;Education(MSW);Englisch
compulsory;obligatorisch, Pflicht-;Education(MSW);Englisch
corridor;Gang;Education(MSW);Englisch
course work;schriftliche Leistung innerhalb eines Schuljahres;Education(MSW);Englisch
curriculum;Lehrplan;Education(MSW);Englisch
day out;Ausflug, Wandertag;Education(MSW);Englisch
doctor's  certificate;ärztliches Attest;Education(MSW);Englisch
education  --  to educate s.o.;Erziehung(swesen), Bildung(swesen);Education(MSW);Englisch
equivalent;Entsprechung;Education(MSW);Englisch
examination;Prüfung, Examen;Education(MSW);Englisch
exchange;Austausch;Education(MSW);Englisch
excursion;Exkursion, Ausflug (mit Bus oder Bahn);Education(MSW);Englisch
extra work;eine Strafarbeit;Education(MSW);Englisch
fail;Note 6 (durchgefallen);Education(MSW);Englisch
foreign language;Fremdsprache;Education(MSW);Englisch
form captain;Klassensprecher/in;Education(MSW);Englisch
Games;(Mannschafts-)Spiele (als Schulfach);Education(MSW);Englisch
General Certificate of Secondary Education (GCSE);Prüfung, die etwa dem Realschul-/Hauptschulabschluss entspricht;Education(MSW);Englisch
General Science;Naturwissenschaften (Kombination aus Biologie, Chemie, Physik);Education(MSW);Englisch
Geography;Erdkunde, Geografie;Education(MSW);Englisch
grade;(Prüfungs-)Note;Education(MSW);Englisch
Grade A;Note 1;Education(MSW);Englisch
grammar school;Gymnasium (!);Education(MSW);Englisch
grounds (plural only!);Gelände;Education(MSW);Englisch
gym (= gymnasium !!!);Turnhalle (!!!);Education(MSW);Englisch
head teacher;Schulleiter/in, Rektor/in;Education(MSW);Englisch
headmaster  --  headmistress (also: head, head teacher);Schuldirektor  --  Schuldirektorin;Education(MSW);Englisch
History;Geschichte;Education(MSW);Englisch
independent specialist school;auf bestimmte Fächer spezialisierte staatliche Schule;Education(MSW);Englisch
IT (= Information Technology);Informatik;Education(MSW);Englisch
janitor (AE)  --  caretaker (BE);Hausmeister/in;Education(MSW);Englisch
kit;"Ausrüstung, ""Zeug""";Education(MSW);Englisch
lazy;faul;Education(MSW);Englisch
lesson;(Unterrichts-)Stunde;Education(MSW);Englisch
library;Bibliothek;Education(MSW);Englisch
lunch break;Mittagspause;Education(MSW);Englisch
main subject;"Hauptfach; auch: Neigungsfach";Education(MSW);Englisch
mark;(Schul-) Note;Education(MSW);Englisch
Maths (= Mathematics);Mathe(matik);Education(MSW);Englisch
meeting;Treffen, Versammlung;Education(MSW);Englisch
member of staff;Lehrkraft;Education(MSW);Englisch
mixed school;gemischte Schule;Education(MSW);Englisch
Music;Musik;Education(MSW);Englisch
notebook (AE)  --  exercise book (BE);Heft;Education(MSW);Englisch
notice-board;Schwarzes Brett, Anschlagbrett;Education(MSW);Englisch
optional;fakultativ, Wahl-;Education(MSW);Englisch
oral exam;mündliche Prüfung;Education(MSW);Englisch
orchestra;Orchester;Education(MSW);Englisch
order mark;etwa: Eintrag ins Klassenbuch;Education(MSW);Englisch
