to heat (sth.)  --  heater;(etwas) heizen / erhitzen  --  Heizgerät;Technology (MSW);Englisch
modern conveniences;(moderne) Komforteinrichtungen;Technology (MSW);Englisch
gadget;"(modernes) Gerät; auch: technische Spielerei";Technology (MSW);Englisch
scientific  --  science;(natur)wissenschaftlich  --  (Natur-)Wissenschaft;Technology (MSW);Englisch
(central) heating;(Zentral-) Heizung;Technology (MSW);Englisch
brown-out;Abschwächung der Stromversorgung;Technology (MSW);Englisch
to crash;abstürzen;Technology (MSW);Englisch
allergy  --  to *be allergic to sth.;Allergie  --  gegen etwas allergisch sein;Technology (MSW);Englisch
labour-saving;arbeitssparend;Technology (MSW);Englisch
equipment (no plural!);Ausrüstung, Ausstattung, Geräte;Technology (MSW);Englisch
effect;Auswirkung;Technology (MSW);Englisch
battery;Batterie;Technology (MSW);Englisch
lighting;Beleuchtung;Technology (MSW);Englisch
convenient ;bequem, praktisch, zweckmäßig;Technology (MSW);Englisch
screen;Bildschirm;Technology (MSW);Englisch
iron;Bügeleisen;Technology (MSW);Englisch
CD player;CD-Spieler;Technology (MSW);Englisch
computer monitor;Computer-Bildschirm;Technology (MSW);Englisch
the balance of nature;das Gleichgewicht der Natur;Technology (MSW);Englisch
digital radio;Digitalradio;Technology (MSW);Englisch
DNA  =  deoxyribonucleic acid;DNS  =  Desoxyribonukleinsäure;Technology (MSW);Englisch
wireless  ;drahtlos, Funk-, Radio;Technology (MSW);Englisch
breakthrough;Durchbruch;Technology (MSW);Englisch
DVD player;DVD-Spieler;Technology (MSW);Englisch
feature;Eigenschaft, Besonderheit;Technology (MSW);Englisch
a piece of equipment;ein Gerät;Technology (MSW);Englisch
assessment;Einschätzung;Technology (MSW);Englisch
electric;elektrisch;Technology (MSW);Englisch
electronic;elektronisch;Technology (MSW);Englisch
discovery  --  to discover sth.;Entdeckung  --  etwas entdecken;Technology (MSW);Englisch
to emit sth. --  emission;etwas ausstrahlen  --  Ausstrahlung, Emission;Technology (MSW);Englisch
to scan sth.;etwas einscannen / einlesen;Technology (MSW);Englisch
to assess sth.  =  to judge sth.  ;etwas einschätzen;Technology (MSW);Englisch
to invent sth.  -- inventor  --  invention;etwas erfinden  --  Erfinder/in  --  Erfindung;Technology (MSW);Englisch
to integrate sth. into sth.;etwas in etwas einbauen / integrieren;Technology (MSW);Englisch
to risk sth., *take a risk;etwas riskieren;Technology (MSW);Englisch
to recycle sth.;etwas wieder aufbereiten;Technology (MSW);Englisch
to clone sth./s.o.  --  clone;etwas/jdn. klonen  --  Klon;Technology (MSW);Englisch
fax machine;Faxgerät;Technology (MSW);Englisch
CCTV  = closed-circuit television;Fernsehüberwachungsanlage;Technology (MSW);Englisch
instant meal;Fertiggericht;Technology (MSW);Englisch
flatscreen;Flachbildschirm;Technology (MSW);Englisch
research (no plural!);Forschung;Technology (MSW);Englisch
progress (no plural!);Fortschritt/e;Technology (MSW);Englisch
GM-free    (GM=genetically modified);frei von Gentechnik;Technology (MSW);Englisch
brain tumour;Gehirntumor;Technology (MSW);Englisch
genetic  --  gene;genetisch  --  Gen;Technology (MSW);Englisch
genetic engineering  --  engineering;Gentechnik  --  Maschinenbau;Technology (MSW);Englisch
genetically modified  --  to modify sth.;gentechnisch verändert  --  etwas verändern/modifizieren;Technology (MSW);Englisch
device;Gerät, Apparat, Vorrichtung;Technology (MSW);Englisch
health risk  --  risky;Gesundheitsrisiko  --  riskant;Technology (MSW);Englisch
light bulb;Glühbirne;Technology (MSW);Englisch
"handy   (but: German ""Handy"")";handlich, geschickt, nützlich, leicht zu handhaben;Technology (MSW);Englisch
mobile phone (BE)  =  cellphone (AE);Handy, Mobiltelefon;Technology (MSW);Englisch
household appliance;Haushaltsgerät;Technology (MSW);Englisch
stove;Herd;Technology (MSW);Englisch
hi-fi;Hi Fi-Anlage;Technology (MSW);Englisch
to fail;hier: ausfallen, versagen;Technology (MSW);Englisch
impact;hier: Einfluss, (starke) Auswirkung;Technology (MSW);Englisch
immune system;Immunsystem;Technology (MSW);Englisch
in operation  --  to operate a machine;in Betrieb  --  eine Maschine bedienen;Technology (MSW);Englisch
infrared;infrarot, Infrarot-;Technology (MSW);Englisch
air-conditioning;Klimaanlage;Technology (MSW);Englisch
disease;Krankheit;Technology (MSW);Englisch
fridge  =  refrigerator;Kühlschrank;Technology (MSW);Englisch
long-term;Langzeit-, langfristig;Technology (MSW);Englisch
laptop;Laptop-Computer;Technology (MSW);Englisch
laser;Laser;Technology (MSW);Englisch
medicine;Medizin;Technology (MSW);Englisch
medical;medizinisch, ärztlich;Technology (MSW);Englisch
microchip;Mikrochip;Technology (MSW);Englisch
microwave oven;Mikrowellenherd;Technology (MSW);Englisch
waste  =  rubbish;Müll, Schrott, Abfall;Technology (MSW);Englisch
demand;Nachfrage, Bedarf, Beanspruchung;Technology (MSW);Englisch
emergency generator;Notstromaggregat / -generator;Technology (MSW);Englisch
organism;Organismus;Technology (MSW);Englisch
palmtop;Palmtop-Computer;Technology (MSW);Englisch
wastepaper basket;Papierkorb;Technology (MSW);Englisch
ID card  (= identity card);Personalausweis;Technology (MSW);Englisch
gramophone;Plattenspieler;Technology (MSW);Englisch
instant coffee;Pulverkaffee;Technology (MSW);Englisch
speed camera;Radargerät zur Geschwindigkeitsmessung;Technology (MSW);Englisch
wireless wave;Radiowelle;Technology (MSW);Englisch
surround sound;Raumklang;Technology (MSW);Englisch
resistant to sth.;resistent / immun gegen etwas;Technology (MSW);Englisch
satellite;Satellit;Technology (MSW);Englisch
cordless telephone  --  cord;schurloses Telefon  --  Schnur;Technology (MSW);Englisch
dishwasher;Spülmaschine;Technology (MSW);Englisch
stem cell;Stammzelle;Technology (MSW);Englisch
vacuum cleaner;Staubsauger;Technology (MSW);Englisch
beam;Strahl;Technology (MSW);Englisch
radiation  --  harmful radiation;Strahlung, Strahlen  --  schädliche Strahlen;Technology (MSW);Englisch
electricity;Strom, Elektrizität;Technology (MSW);Englisch
black-out;Stromausfall;Technology (MSW);Englisch
power failure  --  power;"Stromausfall  --  Strom; Macht, Kraft";Technology (MSW);Englisch
electricity supply;Stromversorgung;Technology (MSW);Englisch
technology;Technologie, Technik;Technology (MSW);Englisch
technological;technologisch;Technology (MSW);Englisch
telecommunications (plural!);Telekommunikation, Fernmeldewesen;Technology (MSW);Englisch
freezer;Tiefkühltruhe, Gefrierschrank;Technology (MSW);Englisch
portable;tragbar;Technology (MSW);Englisch
surveillance  --  surveillance camera;Überwachung  --  Überwachungskamera;Technology (MSW);Englisch
controversial;umstritten, kontrovers;Technology (MSW);Englisch
modification  = change;Veränderung, Modifikation;Technology (MSW);Englisch
available;verfügbar;Technology (MSW);Englisch
video recorder;Video(aufnahme)gerät;Technology (MSW);Englisch
benefit  =  advantage  <-->  disadvantage;Vorteil, Nutzen  <-->  Nachteil;Technology (MSW);Englisch
washing machine;Waschmaschine;Technology (MSW);Englisch
to contribute to sth.  --  contribution;zu etwas beitragen   --  Beitrag;Technology (MSW);Englisch
