Ausdehnung, Expansion;expansion
Amphitheater;amphitheatre
Linde, Lindenbaum;lime-tree, linden-tree
durchdringen, eindringen;to penetrate
Anreiz, Stimulation;incitement, stimulus
Maikäfer;May bug
Majoran;majoram
in Flammen aufgehen;to burst into flames
raffen;to clasp
adjektivisch;adjectival
stoisch;stoical, stoic
Änderung, Transformation;refashioning
Finale;decider, play-off
Lafette;gun-carriage
Anis;anise
Bauernhof, Besitzung, Gut, Landgut, Immobilien;estate
Pudding;pudding
Flöte;flute
durchwaten;to ford
zensieren;to censor
gutherzig;good-hearted
Engel;angel
Gelenkband, Scharnier;hinge
virtuell;virtual
Gehenna, Hölle;hell
Eichel;acorn
Pik, Stich;spades, prick
Zypern;Cyprus
Maulbeerspinner, Seidenraupe;silkworm
Pulver, Schießpulver;gunpowder
Klub, Gesellschaft, Sozietät;society
Ferne Osten, der Ferne Osten;Far East
drehen, ringen, winden;to contort
Gelöbnis, Versprechen, Zusage;promise
Johanniskraut;Saint John's-wort
Angstschweiß;cold sweat
Äthiopien;Ethiopia
entladen, entlasten;to exonerate
Albanisch;Albanian language
Mongolei;Mongolia
Bäreninsel;Bear Island
Turteltaube;turtle-dove
Schema, Stramin, Kanevas, Entwurf;canvas
höllisch, infernal;infernal
Drehpunkt;pivot
Eber, Wildschwein;wild boar
Baskenland;Basque Country, Basque country
venerisch, sexuell übertragbar;venereal
vital;vital
Basrelief;bas-relief, low relief
Bausch, Puff;puff, swelling
Koloss;colossus
Flugzeugentführer;skyjacker
verschlingen;to engulf, to swallow up
Andrang, Druck, Drang, Drücken, Pressen;pressure
Linse;lentil
azurn, Azur;sky blue
in Verwunderung setzen, verwundern;to amaze
Geplauder;chat
Kürbis;gourd
Abordnung, Delegation;deputation
Abfluss;draining
Abszess, Eiterbeule, Geschwulst;abscess
Darm;intestine
Schiffsfracht, Frachtgut, Transportgut, Ladung;cargo
Sippschaft, Klüngel, Clan, Sippe, Abkunft, Geschlecht, Gezücht, Stamm;clan
elidieren, weglassen, ausstoßen;to elide
ausrüsten;to rig, to equip
Kanadierin;Canadian woman
sägen;to saw
Trigonometrie;trigonometry
hervorrufen;to cause to take place
Panzer (bei Schildkröten), Schale (bei Krebsen), Rückenpanzer, Rückenschild, Schild;carapace
zerhacken;to chop up
Schwerkraft, Gravitation;gravity
Fidschi-Inseln;Fiji Islands
vermahnen, zureden;to admonish
Ypsilon;upsilon
Tschad;Chad
Schleier;veil
Turin;Turin
Dominikanische Republik;Dominican Republic
Gauner, Halunke, Schuft, Schurke, Spitzbube, Bandit;rogue
summen;to hum, to buzz
schaufeln;to shovel
Pandora;Pandora
Walnuss;walnut
arg, arglistig, boshaft, hämisch, tückisch, heimtückisch, übermütig;mischievous
dominicanisch;Dominican
entzückend;delightful
Schwamm;sponge
asthmatisch, Asthmaleidender;asthmatic
piepen, zwitschern;to twitter, to chirp
finanzieren;to finance
Ebenmaß, Gleichmaß, Symmetrie;symmetry
böhmisch, Böhme;Bohemian
Bison;bison
Esperanto;Esperanto
Theorem;theorem
Meerrettich;horse-radish, horseradish
Aussicht, Fernsicht, Perspektive;perspective
Kimme;gunsight
Diogenes;Diogenes
Provinzialismus;provincialism
Achilles;Achilles
Homer;Homer
Schmerz verursachen, schmerzen, weh tun;to be painful
Venus;Evening Star
fließen, rinnen, strömen;to flow
zufallen;to be closed
Omnibus;omnibus
mäßig, gescheit, klug, vernünftig, verständig;reasonable
Infanterie;infantry
Wechsel-(-winkel), alternierende (Form);alternating, alternate
Meldebogen, Anforderungsformular, Anfrageformular, Antragsformular;application form
Schlucht;ravine
ausgehen (Vorräte);to fall short of
Abtreibung, Fehlgeburt, Fiasko, Misserfolg;abortion
Iran, Persien;Persia
anheften, ankleben, anlegen, beifügen, befestigen, festsetzen, fixieren;to attach
entwaffnen;to disarm
Anpassung, Assimilation;assimilation
Teleskop;telescope
Botswana;Botswana
Heidentum, Paganismus;paganism
Nordafrika;North Africa
Mauretanier;Mauretanian
Transvaal;the Transvaal, Transvaal
Dekret;decree
Brustwarze, Schnuller, Zitze;nipple
überschwenglich, üppig;rolling in money, immensely rich
Backbord;port side
Klammer;bracket, staple, clamp
Referenz;reference
Amboss;anvil
fasten;to fast
Ornithologie;ornithology
erbärmlich;pitiful
Gewalt, Macht, Potenz;power
Ur, Auerochse;aurochs
Abakus, Kugelmaschine, Rechenmaschine, Rechenbrett;abacus
Alm, Alpe;alp, mountain pasture
lüften, ventilieren;to ventilate
Rotte, Kompanie;squad
undankbar;thankless, unthankful, ungrateful
laienhaft;lay
Champignon, Erdschwamm, Pilz;mushroom
Billett, Fahrkarte, Karte, Kalkül;bill
wohlbeleibt;stout
Ardennen, Ardennerwald;Ardennes
Huflattich;coltsfoot
Klee;clover, trefoil, shamrock
Redner, Sprecher;orator
Geschäft, Kaufladen, Lagerhaus, Magazin, Warenhaus;warehouse
beziehen, überziehen;to overlay
Möwe;seagull
Laufplanke;gangway
Puritaner;puritan
Aufrührer, Rebell;rebel
pflastern;to pave
anspornen, antreiben, aufhetzen, herausfordern;to spur on, to instigate
Mission;mission
Agoraphobie;agoraphobia
Istanbul;Istanbul
Zitronensaft;lemon juice
eingeschrieben;registered
Friedhof, Gottesacker, Kirchhof;God's acre, graveyard, cemetery
Kapstadt;Cape Town
Helium;helium
Angewohnheit, Ausflucht, List, Tücke;trick
Schutt;grit
Athen, Athene;Athens
schlingen, schwingen;to sway, to fling, to brandish, to wave, to wave about
Spucknapf;spittoon, cuspidor
Berlin, berliner, berlinerisch;Berlin
Heck;stern, poopdeck, poop
charakterisieren, kennzeichnen;to characterize
Pferch, Feder;pen
Xylophon;xylophone
sich treffen, sich versammeln, zusammenkommen, zusammentreffen;to congregate
Mailand;Milan
mit Beschlag belegen, konfiszieren;to confiscate
beben, zittern, zucken;to tremble, to quiver, to shiver
Halsbinde, Krawatte, Schlips;necktie
Massage;massage
korrodieren;to corrode
Neodym;neodymium
Flächeninhalt;area
Ruin;decay
Dienstbotin, Magd, Bursche, Diener, Gehilfe;servant
gottlos, profan;impious
Morphium;morphine, morphia
Rückseite, Kehrseite, invers, umgekehrt, Hinterseite;reverse
Sykomore, Eselsfeige;sycamore fig
Prozession;procession
Mendelevium;mendelevium
Haltung, Stellung, Pose;pose
Aprikose, Marille, Aprikosenbaum;apricot-tree
Bestimmung, Verhängnis, Fügung, Geschick, Los, Schicksal;fate
Luftschiff;airship
besonders, extra;extra
anglotzen;to gape
Varieté, Varietéprogramm;variety entertainment
Barbar;barbarian
alphabetisch, elementar;abecedarian
athenisch, Athener;Athenian
Überzeugung, Glaube, Glauben;belief
Kanarienvogel;canary
Feige;fig
Rundblättriges Hellerkraut;round-leaved penny-cress
Gaffer;loafer
Rochen;stingray
Venus;Venus
Demonstrativpronomen, hinweisendes Fürwort;demonstrative pronoun, demonstrative
Aphrodite;Aphrodite
Verleumdung, Ärgernis, Skandal;scandal
Hausmeister, Portier, Dienstmann, Gepäckträger, Träger;porter
Ohrring;earring
Pfeiler, Pfosten;stanchion
Nelkenwurz, Erdrose;avens
Mikrometer;micrometre
sich sträuben, zappeln, kämpfen, ringen;to struggle
Kenia;Kenya
madagassisch;Madagascan
Eingeweihter, Meister, bewandert, erfahren, kundig;adept
Honig;honey
Behälter, Besteck, Krug, Gefäß, Vase, Schiff;vessel
Bewohner, Einwohner, Insasse;inhabitant
absolut, ausdrücklich, durchaus, unausbleiblich, unfehlbar;without fail
abweichend;deviating, divergent
Abtei;abbey
