der, die, das;the
und;and
ein, eine, pro;a, an
sein, sich befinden v;be (was - were - been) v
haben v;have (had - had) v
nicht;not
welche(r, -s), der, die, das;which
wer, wen, wem, der, die, das, welche(r, -s);who
ich;I
die, diese, diese hier;these
die (da/dort), diese, diejenigen;those
mir, mich, ich;me
in, herein, hinein, ein;in
in, in ... hinein;into
werden v;become (became - become) v
mit;with
in, an, bei, auf, um;at
auf, an, über, mit, bei, in;on
eins, ein, eine, einzig, man;one
wollen, werden (in der Zukunft) v;will v
von, aus;from
von, um;of
für, als, zu, nach, auf;for (preposition)
mein, meine;my
sollen, werden, wollen (Hilfsverb);shall - should
auch, ebenfalls, zu;too
sich (reflexiv), selbst, allein;oneself
diese(r), dies, das;this - these
sie, ihr, ihr(e), sich;her
als;than
bei, in der Nähe, mit, durch, von, indem;by
zu, um zu, nach, bis;to
sie selbst, sich, selbst, allein;herself
dass;that
er, sie, es;it
nein, nicht, kein(e);no
sie;she
er;he
auch, ebenfalls;also, too
wie adv;how adv
besitzen, haben, zugeben, zugestehen, etw eingestehen v;own v
das, jener, jene, jenes adj;that adj
oder, noch, auch, sonst;or
sie, man;they
so ... wie;as .. as
wann, wenn, als;when
vor (zeitlich);ago
als, wie, da, weil, wie, so ... wie, genauso ... wie;as
können, dürfen v;can, could v
sie, ihnen;them
offen, geöffnet, auf, frei, ungeklärt, ungelöst adj;open adj
noch, immer noch, nach wie vor, trotzdem, noch adv;still adv
eingeschaltet, angestellt, an adj;on adj
bis;until, till
bis jetzt, schon, noch, noch (nicht) adv;yet adv
Jahr, Lebensjahr n;year n
ihn, ihm, er;him
aus, ausgeschaltet, abgeschaltet adj;off adj
ähnlich, gleich, wie, so adj;like adj
aber, jedoch, als, außer, mit Ausnahme von, sondern;but
auf, aufwärts, hinauf, herauf, hoch, nach oben, oben, bis;up
auf ... zu, ... zu, nach ... hin;toward, towards
sagen v;say (said - said) v
während, als, obwohl, wohingegen, wogegen;while
wieder, noch einmal, noch mal(s) adv;again adv
mehr, noch mehr, noch welche;more
hinter, nach, nachdem, danach;after
müssen, dürfen v;must v
jung, neu adj;young adj
einzige(r, s), bloß, nur, aber;only
durch;through
gegen;against
etw wünschen, etw wollen, etw haben wollen v;want v
gut adj;good adj
sich, selbst, allein;yourself - yourselves
unter;under, underneath
selbst, sogar, nahezu, noch adv;even adv
aus, hinaus, heraus, außen, draußen;out
(sich) wünschen, wollen v;wish v
viel adj;much adj
vielleicht, kann sein, kann sein dass adv;maybe adv
herum, rum, um, in der Nähe von;around
ehe, bevor, vor (räumlich, zeitlich), schon einmal (früher, zuvor);before
zwei adj;two adj
noch eine(r, s), ein zweite(r, s), eine zweite, ein andere(r, s), eine andere, ein weiterer, eine weitere;another
brauchen, benötigen, müssen v;need v
wir;we
jeder, jedermann, alle;everybody, everyone
tun, machen v;do (did - done) v
etw lassen v;let (let - let) v
sein(e), ihr(e);its
kommen, ankommen v;come (came - come) v
über, hinüber, darüber, quer durch;across
so, also, folglich, daher, deshalb;so
sein(e), seins, seine(r);his
lang, weit, hoch adj;long adj
besser, lieber, mehr adv;better adv
neu, jung, frisch, modern adj;new adj
alle, alles, ganze, ganzes adj;all adj
groß (i. S. v. sehr groß bzw. großartig), toll adj;great adj
gleich, genau, nur, gerade noch, einfach, wirklich adv;just adv
wenn, falls, ob;if
nun, na, gut adv;well adv
über, oberhalb, oben, darüber, größer;above
erzählen, sagen, auffordern v;tell (told - told) v
aushändigen, übergeben, geben v;hand v
solcher, solche, solches, solch, so, derartig;such
deutsch adj;German adj
alt adj;old adj
zurück, wieder (da) adv;back adv
damit adv;that adv
über, hinüber, herüber, vorbei sein, zu Ende sein, aus sein adv;over adv
drei adj;three adj
wegen, da, weil;because
gnädige Frau n;madam, ma'am n
Frau (verheiratet) n;Mistress, Mrs, Mrs. n
Frau n;woman - women n
über, von etw, davon, gegen, dagegen, herum, um jdn/etw herum, umher, ungefähr, etwa;about
weit, weit weg, fern adj;far adj
machen, herstellen, dazu bringen, zu etw bringen v;make (made - made) v
gut, nett, hübsch adv;nicely adv
ich selbst, mir selbst, mich selbst, allein;myself
geben, schenken, spenden, ausgeben v;give (gave - given) v
denn, weil;for (conjunction)
immer, ständig adv;always adv
groß, beträchtlich, wohlbeleibt (scherzhaft) adj;large adj
Tag n;day n
Land n;land n
ganz, völlig adv;all adv
blicken nach, gegenüber sein, gegenüber stehen, gehen nach, liegen nach v;face v
du, ihr, Sie, dich, euch, dir, Ihnen, man;you
sich selbst v;itself v
selbst;self - selves
Mann, der Mensch, die Menschen n;man - men n
wenig, kaum adv;little adv
Kind n;child - children n
Stunde, Zeit n;hour n
seit, seitdem, seither, da, weil;since
gehen, zu Fuß gehen, spazieren gehen v;walk v
ihre(r);their - theirs
gehen, fahren, fliegen, reisen, führen v;go (went - gone) v
klein adj;little adj
halten v;hold (held - held) v
Zeit, Mal n;time n
nicht dürfen v;must not, mustn't v
Stadt n;town n
altern, alt werden, alt machen, alt werden lassen, lagern, reifen lassen v;age v
uns;us
dann, danach, damals, außerdem adv;then adv
selbst, sich selbst, ihm selbst, allein;himself
setzen, stellen, legen v;put (put - put) v
erreichen, ankommen, erlangen, erzielen, kommen zu, gelangen zu, reichen bis, gehen bis v;reach v
wenig, wenige adj;few adj
direkt, genau, ganz adv;right adv
Deutschland n;Germany n
sehr, aller-... adv;very adv
weniger als adj;less than adj
Fräulein, Frau (unverheiratet) n;Miss n
viel, sehr, weitaus, bei weitem, beinahe adv;much adv
stehen, stellen, aushalten, ausstehen, ertragen v;stand (stood - stood) v
heute, heutzutage adv;today adv
nicht einmal;not even
klar, rein, gut, scharf, deutlich, eindeutig adj;clear adj
spielen, darstellen (Film, Theater) v;play v
Woche n;week n
ob;whether
Person, Mensch n;person n
da, dort, dahin, dorthin;there
