hygiène (f);Hygiene, Gesundheitspflege
marquer;andeuten, markieren, zeichnen, anzeichnen, kennzeichnen
se méfier;misstrauen
furieux;rasend, stürmisch, toll, wütend
appliqué, assidu;beflissen, emsig, fleißig, geflissentlich, strebsam
le document;"Dokument, Urkunde; Akt, Akte"
le personnage;"Zelebrität; Person"
chauffer;heizen
repousser le métal;zurückstoßen, abweisen
populaire;populär, volkstümlich
s'opposer;opponieren
la balle;"Kugel; Ball"
agrarien;"landwirtschaftlich; Bauer, Landwirt"
le coussin;Kissen
plongé dans;vertieft in
l'accusateur (m);Ankläger
hâtif;hastig
le capitaine;Hauptmann, Kapitän
pêcher;fischen
délaisser, quitter;entäußern, fortlassen, überlassen, unterlassen
ajourner, retarder;aufschieben, fristen, stunden, vertagen, verzögern
alliance;Bündnis, Allianz
rétrogader;zurückfallen, rückwärtsgehen, abnehmen, rückläufig sein, schwächer werden
le régime;Regierungsform
auxiliaire;"zusätzlich, nebensächlich; hilfreich, Hilfs-"
l'unité (f);"Einigkeit, Einheit; Einer"
bataille;"Kampf, Schlacht; Hieb, Schlag, Streich"
aliéniste, le psychiatre;Psychiater, Nervenarzt
le téléphone;Telephon
mûr, fait;"reif; ausgewachsen, erwachsen"
tranchant, coupant;grell, herb, scharf
photographier;knipsen, fotografieren, ablichten
tamiser, sept;sieben
la grandeur;"Ausdehnung, Bereich, Dimension, Fassung, Gehalt, Umfang; Größe; Edelmut"
la protestation;Einspruch
fidèle;gläubig, treu
rechercher, explorer, fouiller;forschen, erforschen, untersuchen
romantique;romantisch
la dignité;Würde
la saison;Jahreszeit, Saison
l'énigme (f), le puzzle;Rätsel
le candidat;Bewerber, Kandidat
acide;herb, sauer
suspecter;argwöhnen, verdächtigen
conseiller;raten, beraten, ratgeben
sobre;abstinent, mäßig, nüchtern
le papillon;Falter, Schmetterling
pérégriner, aller en pélerinage;pilgern
industriel;industriell, gewerblich
tenailles;Zange
la veine;Ader, Vene
retourner;"invertieren, umkehren; mengen, mischen; zurücksenden; drehen, kehren, umdrehen, umwälzen, wenden, umwenden"
le détail;Einzelheit, Detail
accessoire, secondaire;zusätzlich, nebensächlich
le Mercure;Merkur
hurlement (m);"Heulen, Gebrüll; Geschrei"
ni ... ni;weder ... noch
la pile;Batterie, Monozelle
gagner;"erringen, gewinnen; werben, anwerben"
l'apparence (f);"Anblick, Aussehen, Aspekt; Anschein, Ansehen, Augenschein, Schein"
éternel;ewig
battre;"hauen, schlagen; dreschen; quirlen"
la psychologie;Psychologie
concret;konkret
le dévouement;Hingabe
presque;"als ob, gleichsam; beinahe, fast, nahezu, schier, ungefähr"
le Brésil;Brasilien
nier;leugnen, verneinen
le quart;Viertel
l'origine (f);Ursprung
l'encre (f);Tinte
atomique;atomar, Atom...
le trust;Konzern
subordonné;abhängig
obtenir;erhalten, erreichen, habhaft werden
le coup;"Hieb, Schlag, Streich; Anschlag; Treffen"
l'aéroport (m), l'aérodrome (m);Flugplatz
mentir;flunkern, lügen, belügen
s'informer;sich informieren
direct;aufrecht, direkt, gerad, gradlinig, unmittelbar
se lever, s'éveiller, se réveiller;aufwachen, erwachen
indifférent;gleichgültig
le chagrin, le crève-cœur;Kummer, Traurigkeit
l'admiration (f);Bewunderung
faire naître, mettre au monde;gebären, zur Welt bringen
doux;"süß; mild"
tutoyer;duzen
ordinairement;"gewöhnlich; generell, überhaupt"
composer;"zusammensetzen, zusammenstellen, zusammenfügen, komponieren; setzen; abfassen, verfassen"
bizarre;seltsam, eigentümlich
soigner;"pflegen, warten; behandeln, heilen, kurieren; versorgen"
la pédagogie;Pädagogik
le dictateur;Diktator
s'ébattre, s'amuser, fôlatrer, batifoler;herumtollen, mutwillig sein, tändeln, übermütig sein
le mari;Ehemann, Gemahl, Gatte
-able;-bar, -lich
le Texas;Texas
le pendule;"Uhr; Pendel"
