primevère à feuilles entières;Ganzblättrige Schlüsselblume
Strasbourg;Straßburg
l'ammoniaque (f);Ammoniak
afghan;afghanisch
le potiron;Kürbis
la Diane;Diana
La Haye;Haag
gigantesque, énorme;riesig, gigantisch
alchimiste;Alchimist, Alchemist
se déchaîner;sich erregen / stürmen, toben
coïter;koitieren, den Beischlaf vollziehen
le Mongol;Mongole
le lithium;Lithium
savoureux;delikat / köstlich, schmackhaft
déléguer;abordnen, delegieren
l'accélérateur (m), la pédale d'accélération;Gaspedal, Beschleuniger
la routine;Routine
le crapaud;Kröte
l'azalée (f);Azalee
balancer;balancieren, schaukeln
le syndicat;Syndikat
sauge visqueuse;Klebrige Salbei
l'Afghan (m);Afghane
anticorps;Antikörper
atavisme;Ahnenähnlichkeit, Atavismus
l'ancolie (f);Akelei
habileté (f);Geschicklichkeit, Gewandtheit
aérodynamique;Aerodynamik
la transmission;Abgabe
hectomètre (m);Hektometer
assyrien;assyrisch
l'intonation (f);Intonation
les lombes, les reins;Lende
s'apitoyer, avoir pitié, compatir, plaindre;bemitleiden, Mitleid haben, sich erbarmen
l'ascétisme (m), l'ascèse (f);Askese
passé;vorig / welk
l'agrafe (f);Spange
achopper;stolpern, straucheln
se rendre compte;wahrnehmen, bemerken / gewahr werden, inne werden
confondre;in Unordnung bringen, in Verwirrung bringen, verwirren
le sanglot;Schluchzen
l'Ukraine (f);Ukraine, die Ukraine
qualifier;qualifizieren
l'adjoint (m);Dienstgehilfe / Assistent
l'Annonciation (f);Mariä Verkündigung
Belfort;Beffert
la marée;Ebbe und Flut
s'évanouir;das Bewusstsein verlieren, bewusstlos werden, besinnungslos werden, die Besinnung verlieren / in Ohnmacht fallen, ohnmächtig werden
charmant;allerliebst, anmutig, hold, lieblich, reizend
l'Alsace (f);Elsass
le Népalais;Nepalese
l'omoplate (f);Schulterblatt
faire son nid, nicher;nisten
projeter une image;projizieren
le poteau;Pfeiler, Pfosten
aqueduc;Aquädukt
l'aviation (f);Fliegen, Aviatik
la fête-Dieux;Fronleichnam
le recensement;Inventar
armoise;Beifuß
Sainte-Marie-aux-Mines;Markirch
prévisible;absehbar
More, Maure;Maure, Mohr
l'absurdité (f);Verdrehtheit
le monument;Denkmal, Monument
campanule;Glockenblume
déterminer;zur Entscheidung bringen, eine Entscheidung fordern, einer Entscheidung zuführen / determinieren / antun, bewirken, veranlassen, verursachen, zufügen
arithméthique;arithmetisch
l'arbre de transmission (m);Antriebswelle
la modiste;Modistin
filler la laine;spinnen
la marraine;Patin
surmonter;bewältigen, überflügeln, übersteigen, überragen, übertreffen / besiegen, überwinden
le piquant;Stachel
apocope;Apokope
la réalité;Realität, Wirklichkeit / Real
mouvoir;bewegen, erregen
la modestie;Demut / Bescheidenheit
la galoche;Galosche, Überschuh
replier;stülpen
arpège;Arpeggio
Wissembourg;Weißenburg
le volume;Fassungsvermögen, Inhalt (Volumen) / Volumen
chagriner;ärgern, bekümmern, betrüben, kränken, Kummer bereiten, verdrießen
faire fondre;gießen, schmelzen
la position;Position
le remplaçant;Stellvertreter
la menthe;Minze
imposant;imposant / erhaben, majestätisch
le Sémite;Semit
houx (m);Stechpalme
la moelle osseuse, la moelle;Mark
le répandre;Verteilung, Verbreitung
offrir;schenken, beschenken, stiften, verehren, verschenken / erbieten, opfern / offerieren, anbieten / aufführen, bieten, darstellen, vorstellen, präsentieren
l'orgueil (m);Dünkel, Hochmut, Hochnäsigkeit, Überheblichkeit
le chêne;Eiche
le laurier;Lorbeer, Lorbeerbaum
persan;persisch
sage;gescheit, klug, vernünftig, verständig / weise
le chrysanthème;Chrysantheme
la rhubarbe;Rhabarber
le grade;Grad, Staffel, Stufe / Amtswürde, Rang, Stand, Würde
suave;süß / honigsüß, aus Honig / mild
sainfoin;Süßklee
la Copenhague;Kopenhagen
la lettre de créance;Beglaubigung
le suffixe;Suffix
l'arbitre (m);Schiedsrichter
faire un bruit de succion, faire du bruit avec les lèvres;schmatzen
moisi;dumpfig
agacement;Entrüstung
le sou;Sold
la champagne;Champagner
gentiane à feuilles d'asclépiade;Schwalbenwurz-Enzian
le varech, le goémon;Tang
potentille caulescente;Stengel-Fingerkraut
claquer;klacken, klappen, schnalzen
charpenter;zimmern
le serment;Eid
agile;behende, gewandt
ébouriffé, hirsute;struppig
le Bouddha;Buddha
rejeter;fortwerfen, wegwerfen / ausmerzen / widerlegen / zurücksenden / ablehnen, abschlagen, ausschlagen, versagen, weigern, verweigern / sich erbrechen, sich übergeben
limbourgeois;limburgisch
Ingeldorf;Ingeldorf
raiponce;Teufelskralle
équivalent;gleichwertig
l'empressement (m), l'accélération (f), l'accéleration (f), la précipitation;Beschleunigung
hameçon (m);Angelhaken
chaste, continent;keusch, züchtig
le Malaisien;Malaysier
attentif;aufmerksam / achtsam, bedächtig
raisonnable;angemessen, geeignet, zeitgemäß / gescheit, klug, vernünftig, verständig / weise
la villa;Villa
suffisant;auskömmlich, genügend, ziemlich, zulänglich
le muguet;Maiblümchen
l'abaque (m);Abakus, Kugelmaschine, Rechenmaschine / Rechenbrett
le Surinam;Suriname
rattraper;wieder einfangen, zurückgewinnen
la boue, la vase;Dreck, Kot, Schlamm, Schmutz
la division;Zerlegung (einer Menge) / Teilung
raccourcir;abkürzen, verkürzen
le Saturne;Saturn
la prothèse;Prothese
sénégalais;senegalesisch
apprivoisé;zahm
la semailles;Aussaat
anecdotique;anekdotisch, anekdotenhaft
honnête;anständig, bieder, ehrlich, rechtschaffen / loyal
grouper;zusammentragen, ansammeln / gruppieren
la Venise;Venedig
la fraction;Fraktion
la colonne vertébrale;Rückgrat
le pélican;Pelikan
daphné;Seidelbast
avancer;vorrücken, vorwärtsgehen, vorwärtsschreiten / vorankommen / fortschreiten, Fortschritt machen, vorschreiten
l'asbeste (m);Asbest
la Gênes;Genua
la lymphe;Lymphe
conter fleurette, flirter, voltiger;flirten, herumflattern, liebeln, tändeln
infecter;anstecken, infizieren
Thann;Thann
prostituer;huren, prostituieren
actinie;Actinium
apostat;Abtrünniger, Renegat [pol.], Abgefallener
la potasse;Pottasche
Silésie;Silesien
les pinces;Griff, Henkel, Zange
la discipline;Disziplin
tanzanien;tansanisch
la figue;Feige
le sénat;Senat
identifier;auszeichnen, hervorheben, unterscheiden / identifizieren
le bandit;Bandit, Räuber
accent;Diakritikum, Überzeichen
le débat;Debatte, Erörterung, Wortstreit
le cadeau;Geschenk, Spende, Vermächtnis
-al;-haft
entraîner hors du droit chemin;verführen, verlocken / umleiten
hectolitre (m);Hektoliter
athée;atheistisch
la raison;Rationalität
absurde;abgeschmackt, absurd, ungereimt, widersinnig
comique;drollig, komisch, spaßhaft
hydraulique (f);Hydraulik
le Sagittaire;Schütze
arabesque;Arabeske
la fraise;Erdbeere
la carpe;Karpfen
le vautour;Geier
la punaise;Wanze
antipathique, contradictoire, désagréable;widerwärtig
le cosmos;Kosmos
le rectum;Enddarm, Mastdarm, Rectum
déchaîner;entfesseln
broder;sticken
ci-joint;anbei
le cyprès;Zypresse
arthrite;Gelenkentzündung, Arthritis, Gicht
archimandrite;Archimandrit
hiérarchie (f);Hierarchie
communier;an der (Heiligen) Kommunion teilnehmen, das Abendmahl feiern
le lin;Flachs, Lein, Leinpflanze
apogée;Gipfel, Höhepunkt, Erdferne, Apogäum
l'ado (m/f);Jüngling
le Luxembourg;Luxemburg
pédiculaire feuillée;Reichblättriges Läusekraut
cycle;Zeitkreis, Zyklus
râper;raspeln
la saisie;Beschlagnahme
la sandale;Sandale
l'aumônier (m);Feldgeistlicher
la framboise;Himbeere
la Meuse;Maas
le Macédonien;Mazedonier
l'ivoire (m);Elfenbein
surinamien;surinamisch
la mer Egée;Ägäische Meer
la pâquerette;Gänseblümchen, kleines Maßlieb, Marienblume
le xylophone;Xylophon
la renoncule;Ranunkel, Hahnenfuß
l'abandon (m);Verzicht, Ausstieg, Abtretung / Resignation / Entsagung / Einsamkeit
le changement d'adresse;Adressänderung
la taille;Ausdehnung, Bereich, Dimension, Fassung, Gehalt, Umfang / Maß / Gestalt, Statur / Taille
mystique;mystisch
homme d'affaires;Geschäftsmann
agir selon;befolgen
la jetée;Hafendamm, Mole
le pilier, la colonne;Kolumne, Säule, Spalte
Bâle, la Bâle;Basel
la rapsodie;Rhapsodie
l'autodidacte (m/f);Autodidakt, Selbstlerner
l'Arménie (f);Armenien
Messancy;Metzig
la magistrature;Jury
la fontaine;Brunnen, Fontäne, Springbrunnen / Quelle
la charrue;Pflug
abréger;abkürzen, verkürzen / summieren, zusammenfassen
coquet;gefallsüchtig, kokett
le marquis;Marquis
le cobaye, le cochon d'Inde;Meerschweinchen
le statut;Statut, Satzung
tricoter;stricken
le véronique;Ehrenpreis
le tribut;Tribut
l'adorateur (m);Verehrer
aventurer;sich erkühnen, unerschrocken sein, wagemutig sein, wagen, riskieren, kühn sein, sich erdreisten
le Caucase;Kaukasus
le grand tétras;Auerhahn
le cormoran;Scharbe, Kormoran
mûrir;reifen
badauder, bayer aux corneilles, béer;anglotzen
bulgare;bulgarisch
