cenere;Asche
spendere;auslegen, verausgaben
fessura, screpolatura, crepa;Spalte/ Furche, Riss, Spalt
aviazione;Fliegen, Aviatik
boccale, calice;Becher, Pokal
Mar Adriatico;Adria, Adriatisches Meer
baffi;Schnurrbart/ Backenbart
annullare;annullieren, für null und nichtig erklären, kassieren
anno bisestile;Schaltjahr
teritorio;Gebiet, Gelände, Territorium
capo;Befehlshaber, Chef, Haupt, Häuptling, Herr, Oberhaupt, Vorsteher
castigare, punire;ahnden, strafen, bestrafen, züchtigen
annoiare;verdrießen
sguardo;Überblick
violoncello;Violincello
risplendere, brillare;blinken, glänzen, scheinen, schimmern, strahlen
rozzo, scortese;ungezogen, unverfroren
teiera;Teebüchse
mandorla;Mandel
diadema;Diadem
abito;Anzug, Gewand, Kostüm, Tracht/ Kleid, Robe
andare;fahren, gehen, treten
disonesto;unredlich
tasso;Dachs
ostrica;Auster
cintura;Gurt, Gürtel/ Taille, Breite, Zone (einer Kugel)
cavatappi;Korkenzieher
usignuolo, usignolo;Nachtigall
rigido;starr, steif, spröde
gamba;Bein/ Pfote, Unterschenkel
schiuma;Gischt, Schaum
pidocchio;Laus
ufficio d'informazioni;Auskunftstelle
guarnigione;Besatzung, Garnison
omero;Oberarm
cilindro;Walze, Zylinder
comare;Patin
Andalusia;Andalusien
semplice;einfach, einfältig
posare;affektieren, künsteln, sich zieren
triciclo;Dreirad
librario;Buchhändler
Capricorno;Steinbock
bomba incendaria;Brandbombe
arancio;Orangenbaum
trattamento;Behandlung, Unterhandlung, Verhandlung
persiana;Jalousie, Rolladen
contrasto;Gegensatz, Kontrast
rimorchiatore;Schlepper
stalla;Stall
fumatori;Raucherabteil
anguilla;Aal
barone;Baron, Freiherr
comodo;bequem, gemächlich, wohnlich
muggire;brausen, sausen, zischen
storia;Geschichte, Historie
amazzone;Amazone
aggettivo;adjektivisch/ Adjektiv, Eigenschaftswort
sospendere;anhängen, aufhängen, erhängen, henken
animare;beseelen, beleben
porzione;Anteil, Teil/ Portion, Ration
fregata;Fregatte
rumore;Aufsehen
guancia;Backe, Wange
etichetta;Etikette
placare, calmare;besänftigen, dämpfen, züchtigen/ beruhigen
intestino;Darm
assedio;Belagerung
forca;Galgen
