alcalde;Bürgermeister
marinero;Seemann
acero;Stahl
poco a poco;allmählich, nach und nach
callarse;schweigen
detener, arrestar;festnehmen, verhaften
masticar;kauen
oscuro;dunkel, finster
distinguir;auszeichnen, hervorheben, unterscheiden
cabana;Hütte
abridor de tapones;Flaschenöffner
pijama;Schlafanzug
óptico;Optiker
coser;heften, nähen
novio;Geliebte
proceso;Prozess
aeropuerto;Flugplatz
cenicero;Aschenbecher
cuenta bancaria;Konto, Bankkonto
levantar;heben, aufheben, erheben, zücken
oponerse;widerstehen
acariciar;schmeicheln, streicheln
número de teléfono;Telephonnummer
cerca de;an, bei, neben / annähernd, etwa, ungefähr
mandarina;Mandarine
trepar;klettern, klimmen
albaricoque;Aprikose, Marille
pobrezo, indigencia;Elend, Not
anteayer;vorgestern
luz trasera, luz posterior;Rücklampe, Schlußlicht, Schlußlampe
trombón;Trompete
negar;leugnen, verneinen
veterinario;Tierarzt
anuncio;Ankündigung, Bekanntmachung / Annonce, Anzeige, Inserat / Benachrichtigung
siesta;Mittagsruhe, Siesta
adquisición;Errungenschaft, Neuerwerbung, Neuanschaffung / Beute, Erwerb / Kauf, Einkauf
Norteamérica, América septentrional;Nordamerika
completo, cabal;vollzählig, vollkommen, komplett, vollständig, vollständiger (Raum) / ganz, total
gratitud;Dankbarkeit
respirar;ausatmen / atmen
Egipto;Ägypten
tomar;annehmen, empfangen, genehmigen / verschlingen / fassen, nehmen
partido;Anhang / Fraktion, Partei / Gefolge
carrera;Karriere, Laufbahn
civil;bürgerlich, zivil
prever;vorhersehen
aproximarse, acercarse;sich nähern
pedir limosna, mendigar;betteln
relámpago;Blitz
distraído;zerstreut, unaufmerksam
grave;arg, bedeutend, bedeutsam, beträchtlich, erheblich, ernst, wichtig / Hof
venganza;Rache
divertirse;sich amüsieren
competencia;Konkurrenz, Wettbewerb
interna, interior;innerlich, intern, inwendig
tornillo;Schraube
placer;Gefallen / Freude, Genuss, Vergnügen
talento;Talent
guardar;wahren / aufbewahren, behalten, bergen, erhalten, konservieren / begünstigen, schützen, beschützen, beschirmen / schirmen
aceptación;Annahme, Übernahme, Zusage
cortina;Gardine, Vorhang
sanar;genesen, heilen
mandar;dirigieren, führen, richten, steuern / lenken
impermeable;Regenmantel
Chile;Chile
singular;Singular, Einzahl
ortografía;Ortographie, Rechtschreibung
contacto;Berührung, Kontakt
directorio;Adressbuch
tanto;sofern, insofern, sosehr, soviel, soweit
receta;Rezept
harina;(feines) Mehl / Mehl
arma;Waffe
linea;Leitung
brazo;Arm
cama de matrimonio;Doppelbett
traslado, copia;Abdruck, Abschrift, Kopie, Nachbildung
infeliz, desgraciadamente;unglücklich
cojo;hinkend, lahm
friolera, bagatela;Bagatelle, Kleinigkeit
indonesio, indonésico;indonesisch
asombrado;verwundert
Japón;Japan
curva;Kurve
cocer;backen
resabio, mala costumbre;Angewohnheit
Union Europea;Europäische Union
trueno;Donner
endrino;Schlitten
coger;greifen, angreifen, ergreifen / holen / erbeuten, ertappen, erwischen, fangen, fassen / nehmen
negativa;Verweigerung, Weigerung
caja;Geldkasten, Kasse / Kasten, Kiste, Truhe / Büchse, Schachtel / Behälter, Besteck, Krug
India;Indien
amable;freundlich / liebenswürdig
lámina;Tafel
cerrar;schließen, verschließen, zumachen / zuschließen
doble;doppelt, zweifach
substituir;ablösen, ersetzen
pezuña;Huf
cadera;Hüfte
interrumpir;unterbrechen
arrogarse;herausnehmen, sich anmaßen
administrador;Verwalter, Geschäftsführer
incomodar, molestar;beengen, behindern, belästigen, genieren, stören, lästig werden
exigir;erfordern, verlangen, zumuten
no ... del todo, de ningún modo, ni mucho menos;durchaus nicht, ganz und gar nicht
entrar;eintreten / einfahren
contrato;Traktat, Vertrag
salario;Gage, Gehalt
lugar, motivo;Anlaß, Veranlassung / Antrieb, Beweggrund, Grund, Motiv
belleza;Schönheit
urgente;dringend
compositor;Komponist
violento;intensiv
plancha;Bügeleisen
reloj de pulsera;Armbanduhr
paralelo;gleichlaufend, parallel
Báltico, mar Báltico;Baltisches Meer, Ostsee
liebre;Hase
caos;Chaos
diestro, ágil;fix, geschickt, geübt, gewandt
antebrazo;Unterarm
prometer;geloben, verheißen, versprechen, zusagen
gorro;Schirmmütze / Mütze
quizás, tal vez;eventuell, möglicherweise, vielleicht, wohl
prisión;Gefängnis, Verlies
pobreza;Armut
distancia;Abstand, Entfernung, Weite
deducción;Abnahme
cada vez;allemal, jedesmal
hojalata;Blech
compra;Beute, Errungenschaft, Erwerb / Kauf, Einkauf
Yugoeslavia;Jugoslawien
matar;erschlagen, schlachten / ermorden, töten
Prusia;Preußen
francés;französisch / Französisch, französische Sprache / Franzose
acusado;Angeklagter
cuadro;Beet / Rahmen, Gestell, Gerüst / Quadrat, Viereck / Bild, Gemälde
morder;beißen
ajuar, mobilario, mueblaje;Hausgerät, Mobiliar
necesidad;Bedarf, Bedürfnis / Notwendigkeit
tóxico;giftig
Sajonia;Sachsen
perder;verfehlen / verlieren
ritmo;Rhythmus
Cuba;Kuba
estuche;Behälter, Besteck, Krug
remolque, coche remolque;Anhänger
sueco;schwedisch / Schwede
externo, exterior;äußerer
avería;Beschädigung (während des Transports), Bruch (während des Transports), Havarie, Schaden (während des Transports), Seeschaden, Transportschaden
resfriarse;sich erkälten
patio;Hof
insistir, instar;beharren auf, drängen, trotzen
aula magna, paraninfo;Aula, Auditorium
lavar;spülen, waschen / aufwaschen
carretera, autoestrada, autopista;Autobahn
curso;Kurs, Kursus
uña;Nagel
sudar, transpirar;schwitzen
ejército;Armee, Heer
cesión;Verzicht, Ausstieg, Abtretung
extraviarse;sich verirren
alto;Altstimme / erhaben, hoch / laut
salsa;Brühe, Sauce, Soße, Tunke
amén;amen
desaprobar;zurechtweisen
tabaco;Tabak
saco de dormir;Schlafsack
idem;gleich, gleichfalls
Alpes;Alpen
calcular, computar;erachten, kalkulieren, rechnen, berechnen
as;As
conclusión;Schluss, Schlussfolgerung, Folgerung
Colonia;Köln
Pacífico, Océano Pacífico;Stiller Ozean, Pazifik
bujía;(Zünd-)Kerze
ochocientos;achthundert
atacar;angreifen, anfallen / ausfallen, befallen, überfallen
igual;egal
seguro;Versicherung / sicher
aparecer;erscheinen
celo;Eifer, Inbrunst
plombo;Blei
código;Text, System, Kodex, Kennung, Gesetzbuch, Geheimtext, Alphabet, Code, Kode
costumbre;Angewohnheit, Brauch, Gebrauch, Gepflogenheit, Gewohnheit, Usus
atletismo;Leichtathletik, Athletik
corromper, echar a perder;verderben, verschlechtern, verschlimmern
terrestre, terrenal;irdisch, terrestrisch
águila;Adler
enrollar;einhüllen, einschlagen, einwickeln, umhüllen, umschlagen
dedo de pie;Zehe
caro;lieb, teuer, wert
ventaja;Vorteil / Interesse, Nutzen
nervio;Nerv
fideos;Nudel
tarjeta postal ilustrada;Ansichtskarte, Postkarte
resolver;beschließen, entscheiden, sich entschließen / lösen
concisión;Knappheit, Bündigkeit, Kürze
cuello;Hals / Kragen
toda clase de;allerhand, jeglicher / allerlei
cepillo;Bürste / Hobel
acción;Handlung, Tat / Aktie, Anteilschein
latín;Latein
fiel;gläubig, treu
examinar;examinieren, inspizieren, nachsehen, prüfen, untersuchen
Londres;London
consecuencia;Folge, Konsequenz
descripción;Beschreibung
aspecto;Anblick, Aussehen, Aspekt / Äußeres
comedor;Speisesaal, Speisezimmer
vinagre;Essig
pie;Bein, Fuß, Pfote
bondad;Güte
histórico;historisch
cohete;Rakete
recreación;Unterhaltung, Vergnügen
regar;bewässern
camarote;Kabine, Kajüte, Koje
urbano;städtisch
edad media;Mittelalter
despeñadero, precipicio, abismo;Abgrund, Tiefe
neerlandés;holländisch, niederländisch / Holländer, Niederländer
conquistar;erobern
encender;verbrennen / zünden, entzünden / anzünden, entfachen
correr;fließen, rinnen, strömen / eilen, rennen / laufen
crecer, aumentar;gedeihen, wachsen, anwachsen
cristianismo;Christentum
conocido;berühmt / Bekannter
bistec, bife, bisté, biftec;Beefsteak
plátano;Banane / Pisang
abrazar;umarmen
carta aérea;Luftpostbrief
Estados Unidos;Vereinigten Staaten, Vereinigte Staaten, Vereinigte Staaten von Amerika
chaqueta;Jacke, Jackett, Sakko
madre;Flussbett / Mutter
absoluto;absolut, unbedingt, unbeschränkt
método;Methode
adivinar;enträtseln, raten, erraten
perdido;abhanden
martillo;Hammer
publicar;ankündigen, anzeigen, avisieren, melden, anmelden, verkünden / veröffentlichen / angeben, mitteilen
primavera;Frühjahr, Frühling, Lenz
fijo;fest, fix / feststehend, firm, gediegen, stabil, wiederstandsfähig
de aire acondicionado;klimatisiert
teléfono;Telephon
protesta;Einspruch
resistir;widerstehen
pulgar;Daumen
llanura;Ebene
experto;geübt / fix, geschickt, gewandt
codo;Ellbogen
estornudar;niesen
civilización;Aufklärung, Bildung, Zivilisation
Colombia;Kolumbien
viga;Balken
comerciante;Händler, Kaufmann
mendigo;Bettler
parte;Anteil, Teil / Portion, Ration / Stück, Partie
difundir;schicken, senden, einsenden
archi-, arzo-;Haupt-
pieza;Bruch, Bruchstück, Fragment, Stück / Anteil, Teil, Partie
llegar;ankommen, eintreffen, gelangen, zukommen, herzukommen / herreichen, verbringen, zubringen
pasta dentrífica;Zahnpasta
revés;Rückseite, Kehrseite / Hinterseite
libra;Pfund / Tafel
quebradura;Brechen, Bruch
cómico, divertido;lustig, unterhaltsam, amüsant
sucesivamente;hintereinander
dificultar;erschweren
contemplar;berücksichtigen, betrachten, erwägen, sich überlegen / anblicken, ansehen, blicken, schauen, zuschauen, zusehen
complacer;befriedigen, zufriedenstellen
filtro;Filter
asar;braten, rösten
Viernes Santo;Karfreitag
mear, orinar;Wasser lassen, urinieren, pinkeln
cambio;Variation / Kleingeld
cerda, cochina;Sau
esposo, marido;Ehemann, Gemahl, Gatte
horroroso, abominable;verabscheuenswürdig, verabscheuenswert
quedarse, restar;bleiben, übrigbleiben
sumar;addieren, hinzurechnen
contratar;öffentlich ausschreiben, verdingen / einen Vertrag schließen
habitante;Bewohner, Einwohner, Insasse
abajo;unten / unterhalb
falta;Fehlen, Fehler, Manko
lágrima;Träne
todo;ganz, total / alles / jeder, ein jeder, jedermann, jeglicher
cinta;Band / Allianz, Bund, Bündnis, Liga, Verband, Verbindung
luego;bald, alsbald, baldig / dann, darauf, hinterher, nachher, später / danach
llenar;vervollständigen / ausfüllen, erfüllen
probar;erproben, probieren, prüfen, versuchen / begründen, beweisen
nivel;Niveau
ofrecimiento, oferta;Offerte / Darbietung, Darstellung, Vorstellung / Aufführung, Vorlegung, Präsentation / Antrag, Gebot
anteriormente, delante;früher, zuvor
postal, tarjeta postal;Ansichtskarte, Postkarte
agrario;landwirtschaftlich
acentuar;betonen, besonders betonen, akzentuieren
ala;Fittich, Flügel
rana;Frosch
de dia;tagsüber / tags
reprimir;zügeln / herrschen, beherrschen, regieren
remar;rudern
afectuoso;anhänglich, ergeben, zugetan
plural;Plural
comunión;Kommunion
ola;Welle, Woge
prohibición;Verbot
sordo;taub
profundidad;Tiefe
substantivo;Hauptwort, Substantiv
colchón;Matratze
conocimientos;Berühmtheit
bota;Stiefel
oído;Gehör
chaleco;Weste
ciego;blind
conmovido;bewegt, gerührt
considerar, tomar en consideración;berücksichtigen, betrachten, erwägen, sich überlegen
miedo;Angst / bang, feige / zaghaft
normal;Norm-, normgerecht, normgemäß, normiert, genormt / normal
material;Material, Zutat
noticia;Bericht, Mitteilung, Nachricht / Auskunft, Bekanntmachung
bañarse;baden, ein Bad nehmen
salmón;Lachs
temporada;Jahreszeit, Saison
fino;delikat, fein, zart
decudir;ableiten, deduzieren, folgern / schließen
contradecir;widersprechen
cable;Kabel
consecutivo, siguiente, sucesivo;folgend, nächst, umgehend
cacahuete, cacahué;Erdnuss
tamaño;Ausdehnung, Dimension / Format / Größe
turco;türkisch / Türke
administración;Verwaltung
llano;Ebene / flach, platt
dietario, agenda;Agenda, Notizbuch
originario, natural, proveniente;kommend, stammend
crítica;Beurteilung, Prüfung, ungünstige Besprechung, Tadel, negative Beurteilung, Kritik, Besprechung
red;Garn, Netz
ventilar;lüften
libre;frei, geläufig
vecino;angrenzend, anstoßend / benachbart / Nachbar
parecer;aussehen / scheinen
salvar;retten, erlösen, erretten
producción, fabricación;Fabrikation, Herstellung, Produktion
vista;Anblick, Aussehen, Aspekt / Zollbeamter / Äußeres / Aussicht / Panorama / Gesicht, Sehen
americana;Jacke, Jackett, Sakko / Amerikanerin
tentación;Hang (zu etwas), Neigung, Lust / Versuchung
Madrid;Madrid
inmediatamente;direkt / gleich, sofort, umgehend, sogleich
arriesgar;riskieren, wagen
relación;Verhältnis, Zusammenhang / Beziehung, Hinsicht, Verbindung
arreglar;ordnen, anordnen
birrete;Barett / Mütze
amortizar;amortisieren, löschen
roncar;schnarchen
congelador;Gefrierschrank
engañar;narren, zum Besten halten / betrügen, hintergehen, täuschen
publicación;Auskunft, Bekanntmachung
divertimento, diversión;Unterhaltung, Amüsement
chanza, burla, broma;Jux, Scherz, Spaß
despedida;Abschied
relevo;Ersatz
trucha;Forelle
confección;Fabrikation, Herstellung, Produktion / Konfektion
atento;aufmerksam / achtsam, bedächtig
Escocia;Schottland
veneno;Gift
Moisés;Mose(s)
deseo;Gelüst, Gierde, Habsucht / Lust, Wunsch
rezar;beten
excelente;ausgezeichnet, gediegen, trefflich, vortrefflich, vorzüglich / ansehnlich, eminent, hervorragend
cerradura;Schloss, Verschluss
podrido;faul, faulig
peluquero;Friseur, Frisör
dieta;Diät
cigarro;Zigarre
repulsar;zurückschlagen
instruir;lehren, belehren, unterrichten, unterweisen
bajo;Bass / niedrig
egoísta;selbstsüchtig, egoistisch
trastornar;kappen, umstoßen, umstürzen, umwerfen
sexo;Geschlecht, Sex
secreto;heimlich / geheim, verborgen, verstohlen
misericordioso;mitleidig, barmherzig
mosca;Fliege
holandés;holländisch / Holländer / niederländisch / Niederländer
adorar;anbeten, verehren, vergöttern
conservador;konservativ
de memoria;auswendig, aus dem Kopf
sartén;Pfanne
animación;Ermutigung, Ermunterung
aviso;Warnung / Ankündigung, Benachrichtigung
banquete;Bankett, Festessen / Gastmahl, Zeche, Gelage
bastante;ein wenig, etwas, ziemlich, ein bisschen / inmitten / auskömmlich, genügend, zulänglich / genug, hinlänglich
cuota;Beitrag
detalle;Einzelheit, Detail
monopolio;Monopol, Alleinverkauf, Alleinvertrieb
odio;Hass
apoplejía;Schlag(anfall), Schlagfluß
acordar;beipflichten, beistimmen, einwilligen, zustimmen, zuwilligen
decisivo;entschieden
suponer, asumir;vermuten, voraussetzen
causar;antun, bewirken, veranlassen, verursachen, zufügen
censurar;zensieren / begutachten, kritisieren / zurechtweisen
divorcio;Scheidung
joven;jugendlich, jung / Jüngling
estación balnearia;Bad / Badeort
juntarse;zusammenkommen / sich vereinigen, zusammengehen
igualdad;Gleichheit
agradable;behaglich, angenehm, genehm / bequem, gemächlich, wohnlich
aunque;obgleich, obschon, wenn auch, zwar
hábil;geübt / begabt, fähig, imstande, tüchtig / fix, geschickt, gewandt
hormiga;Ameise
Roma;Rom
obligatorio;verbindlich, obligatorisch, Zwangs...
significar;bedeuten, bezeichnen
Méjico;Mexiko
campanilla, timbre;Glocke, Klingel / Schelle
hoja;Formular / Blatt
taberna;Kneipe
comprador, cliente;Käufer, Kunde / Klient
telegrama;Telegramm
Perú;Peru
baloncesto;Basketball
agudo;grell, herb, scharf / akut, heftig, hitzig
de golpe, de sopetón, de repente;jäh
duro;hart / ledern
católico;katholisch, römisch-katholisch / Katholik
Argentina;Argentinien
ducharse;sich duschen
Biblia;Bibel
personalmente;in Person, persönlich
dominar;vorherrschen
manga;Ärmel
ebrio, borracho;berauscht, trunken, betrunken
alambre;Draht
alcanzar;erbeuten, erlangen, erringen, habhaft werden, sich erwerben / erzielen, reichen, erreichen
gemelos;Zwillinge / Zwilling
camión;Lastauto, Lastkraftwagen, LKW
dar de comer;füttern
saldar;abrechnen, liquidieren / zahlen, abzahlen, auszahlen, bezahlen, einzahlen, entrichten
acumulador;Batterie, Akku, Akkumulator
ingrediente;Bestandteil, Zutat
misericordia;Barmherzigkeit
resultado;Erfolg, Ergebnis, Resultat
pastel;Backwerk, Gebäck / Torte
portamonedas;Börse
construcción;Einrichtung, Zusammenstellung / Anbau / Bau, Bauwerk, Gebäude / Erbauung
billete;Billett, Fahrkarte, Karte
extremamente;extrem, äußerst / meist, am meisten
asir;greifen, angreifen, ergreifen / erbeuten, ertappen, erwischen, fangen, fassen
medicamento, medicina;Medizin, Arznei, Heilmittel / Medikament
hornada;Backwerk, Gebäck
cepillar;bürsten
mariposa;Falter, Schmetterling
basurero;Mülldeponie, Müllhaufen
sobre todo;besonders, zunächst
engaño, embuste;Betrug, Täuschung
diputado;Abgeordneter, Delegierter
cortar;abschneiden / abreißen, losreißen, pflücken, abpflügen / enthaupten / scheren, abscheren, schneiden
llave;Schlüssel / Schraubenschlüssel
escopeta;Gewehr
deplorable;bedauerlich, bedauernswert / erbärmlich
brazalete, pulsera;Armband
documento;Dokument, Urkunde
quemadura;Verbrennung, Brandwunde
Colón;Kolumbus
repetir;entgegnen / wiederholen
gobierno;Regierung
ocasionar;antun, bewirken, veranlassen, verursachen, zufügen / hervorrufen
barco;Barke, Nachen / Boot / Dreimaster / Schiff
juego de ajedrez;Schachspiel
acometer;angreifen, anfallen / ausfallen, befallen, überfallen / ein Attentat ausführen
agradecer, dar gracias a;danken, sich bedanken, verdanken
átomo;Atom
expedir;abfertigen, befördern, expedieren, fortsenden, spedieren / abschicken, entsenden, fortschicken, wegschicken
piel;Balg, Fell, Tierhaut, Pelz / Haut
pera;Birne
servicial, oficioso;hilfsbereit
oficial;amtlich / offiziell
panadería;Bäckerei, Backstube
champiñon;Champignon
completar;vervollständigen
caer enfermo;erkranken, krank werden
rápido;geschwind, hurtig, rasch, schnell / Eilzug
psiquiatra;Psychiater, Nervenarzt
noción;Konzept / Auffassung, Wahrnehmung
cada, cada uno;jeder, ein jeder, jedermann, jeglicher
esparadrapo;Pflaster
Gran Bretaña;Britannien
andar;gehen, laufen, marschieren, treten
existencia;Bestehen, Dasein, Existenz
tronar;donnern
digestión;Verdauung
entrada;Eingang / Eintritt
pino;Kiefer
bizcocho;Keks, Plätzchen / Zwieback
artista;Künstlerin / Artist, Künstler
Sahara;Sahara
derecho;Anspruch / Befugnis, Recht / aufrecht, direkt, gerad, gradlinig, unmittelbar
empleado;Angestellter, Arbeitnehmer / Büroangestellte, Handlungsgehilfe, Ladengehilfe / Beamter
gas;Gas
obedecer;folgen, befolgen, gehorchen
minoría;Minderheit
impuesto, contribución;Abgabe, Steuer, Steuerabgabe
anchura;Breite
producir;antun, bewirken, veranlassen, verursachen, zufügen / erzeugen, hervorbringen, produzieren
cubierto;Gedeck, Service
tirar;feuern, schießen / ziehen, verziehen
trazar;vorschreiben, anordnen, verschreiben
estatua;Bildsäule, Standbild, Statue
bandera;Banner, Fahne, Flagge / Standarte
escandálo;Entrüstung / Ärgernis, Skandal
alcohol;Spirituosen / Alkohol, Spritus
calmarse, sosegar, calmar, sosegarse;beruhigen
conservar;aufbewahren, behalten, bergen, erhalten, konservieren
atlas;Kartenwerk, Satin, Atlasseide, Atlas
copla, estrofa;Strophe
divulgar;veröffentlichen / angeben, mitteilen, verkünden, ankündigen
en parte;teils
depender de;abhängen von
agente, representante;Agent
provecho;Gewinn, Überschuss, Verdienst, Vorteil / Ertrag, Interesse, Nutzen
revelar;entwickeln
llamar por teléfono, invocar;anrufen
encarecer, ensalzar, recomender;empfehlen, anpreisen
avestruz;(Vogel) Strauß
aplaudir;applaudieren, Beifall spenden
librería;Buchhandlung
jarra;Kanne, Krug
especialista;Spezialist
párrafo;Absatz, Alinea
relevar;ablösen, ersetzen
puntiagudo;spitz
granja, finca;Bauernhof, Besitzung, Gut, Landgut
noruego;norwegisch / Norweger
desarrollar;entwickeln / erklären / darlegen, erläutern / ausbilden, aufklären, belehren, bilden
traducir;übersetzen, übertragen
cacerola;Bratpfanne, Kasserole, Kochpfanne, Pfanne
dependiente;abhängig / Büroangestellte, Handlungsgehilfe, Ladengehilfe
dirigir la palabra a, dirigirse a;ansprechen
ópera;Oper
presión;Drang, Druck, Drücken, Pressen
cuchichear;flüstern
Turquía;Türkei, die Türkei
inteligible, comprensible;begreiflich, verständlich, fassbar
chófer;Fahrer, Chauffeur / Fuhrmann
fiesta;Feier, Fest
modo subjuntivo;Subjunktiv, Konjunktiv
peatón;Fußgänger
bravo;beherzt, dreist, getrost, mutig, tapfer
fondo;Hintergrund
diferir;abweichen, sich unterscheiden
cumplimiento;Ergänzung, Zusatz, Nachtrag / Schmeichelei, Höflichkeitsbezeugung, Huldigung, Kompliment
testigo;Zeuge
certificado;Handlung, Tat / Attest, Zeugnis, Zertifikat / eingeschrieben
ausente;abwesend
adoración;Anbetung / Verehrung
dependencia;Abhängigkeit
verde;grün / Grün
barrer;fegen, kehren, abkehren
heredar;erben, beerben
gaseosa de limón;Zitronenlimonade
anonchecer;Zwielicht / Dämmerung
mar del Norte;Nordsee
prejuicio;Vorurteil
queja, pleito;Beschwerde, Klage
acreedor;Gläubiger
entusiasmar;begeistern
tenis;Tennis
ah;ah, ach / oh
responsabilidad;Verantwortung
baranda;Rand
comarca, región;Bereich, Gebiet, Gegend, Region
brusco;barsch, brüsk, grob
fusilar;erschießen
bajar;weggehen, abgehen, starten / hinuntergehen, hinabsteigen / aussteigen / heruntergehen / ablassen, nachlassen, Rabatt geben
arrogante;arrogant, dünkelhaft, anmaßend, hochnäsig / hochmütig, übermütig / anspruchsvoll
en todos conceptos;auf jede Weise
alcanzable;zugänglich
llevar;bringen, heranbringen, überbringen / mitbringen, mitnehmen / tragen
alrededores;Umgebung
anónimo;anonym, ungenannt
barbero;Barbier / Friseur, Herrenfriseur
sustraer;abziehen, subtrahieren
compañía;Gesellschaft
excluir;ausschließen
preguntarse;sich fragen, sich wundern
carga;Belastung, Bürde, Fuhre, Ladung, Last
campamento;Campingplatz, Zeltplatz / Lager, Zeltlager
camping, terreno del camping;Campingplatz, Zeltplatz
propio;eigen
mayoría;Mehrheit
silbar;pfeifen
propietario;Inhaber
Canadá;Kanada
depósito de gasolina;Benzintank
vida;Leben
bastar;ausreichen, genügen, hinreichen, zureichen
contemporáneo;gegenwärtig, heutig, jetzig
tocar;streifen / spielen / gellen, klingen, läuten, tönen / rühren, anrühren, berühren
acomodado;wohlhabend
guardia;Wache / Hut, Wacht / Polizist, Schutzmann
olla, jarro;Hafen, Kanne, Krug, Topf / Behälter, Besteck
apoyarse;sich stützen
vengar;rächen
artificial;künstlich
Berlín;Berlin
ampliación;Vergrößerung / Anwuchs, Vermehrung, Zunahme
distrito;Amtsbezirk, Bezirk, Distrikt
arteria;Arterie, Pulsader, Schlagader
dolor;Schmerz, Weh
documental;Kulturfilm
cerebro;Gehirn, Hirn
eléctrico;elektrisch
tener cuidado, atender;achtgeben, aufpassen, beachten, zusehen
en el acto, ahora mismo;gleich, sofort, umgehend, sogleich
procedente de;stammend aus
cultivar;heranbilden, züchten, veredeln, hegen, bebauen, anbauen, kultivieren / legen, stecken, pflanzen, anpflanzen
perdida;Verlust
verter;einschenken
cañón;Kanon, Kanone
anunciar;ankündigen, anzeigen, avisieren, melden, anmelden, verkünden
asentir;bejahen, ja sagen
mirada;Blick, Einsicht
britano;Brite
estofado de carne húngaro;Gulasch
tápa;Decke, Deckel, Umschag, Verdeck
atractivo, atrayente;anziehend, attraktiv
Mahoma;Mohammed
argumento;Argument, Beweis
fabricar;anfertigen, fabrizieren, herstellen, verfertigen / leiten, machen, tun, zurücklegen
abeto;Fichte, Tanne
caótico;chaotisch, unordentlich, ungeordnet, durcheinander
conflicto;Konflikt, Streit, Widerstreit
miope;kurzsichtig
fregar;aufwaschen
de propósito;absichtlich
sábana;Bettlaken, Laken
farsante, presumido;Wichtigtuer
negro;Neger, Schwarzer / schwarz
porciento;Prozent / Zins
aplauso;Applaus, Beifall
en seguida;gleich, sogleich / sofort, umgehend
agresión, ataque;Anfall, Angriff, Offensive / Anschlag, Attentat
neutro;intransitiv / neutral, sächlich
parar;ableiten, abwenden, entwenden / halten, anhalten, Halt machen, stocken, stoppen / bremsen, sperren / abstellen
negocio;Unternehmung
bombón;Bonbon
contar;zählen, aufzählen / erzählen
por fortuna;glücklicherweise
química;Chemie
vergüenza;Scham, Schande
vestir;beziehen, überziehen / anziehen, kleiden, ankleiden, bekleiden
elefante;Elefant
caucho;Gummi
suerte;Fügung, Geschick, Los, Schicksal, Verhängnis / Abart, Art, Gattung, Schlag, Sorte / Chance
arroyo;Bach
pedir;bestellen / bitten, ersuchen
pasillo;Gang, Hausflur, Flur, Korridor
preste, sacerdote;Priester
autovía;Autobahn, Schnellstraße
particular;Angelegenheit, Ding, Sache, Werk / abgesondert, einzeln, seperat
acorde, concordación;Akkord, Abkommen, Einklang, Übereinkommen, Übereinstimmung / Übereinkunft
robo;Diebstahl
personal;Personal / persönlich
actriz;Schauspielerin
cuarto;Appartement, Etagenwohnung, Gemach / Viertel / Stube, Zimmer
acostumbrarse, habituarse;einüben, sich gewöhnen, sich vertraut machen
perímetro;Umfang / Peripherie
cafetera;Kaffeekanne
antes de que;bevor, ehe
toser;husten
acometida;Anfall, Angriff, Offensive
cortadura;Einschnitt, Schnitt
enfrente de;stirnseitig, frontal, frontseitig
yerno;Schwiegersohn
cita;Zitat, Anführung / Rendezvous
litera;Bett, Lager, Flussbett, Lagerstätte, Liegestatt
capital;Kapital / Metropole / Hauptstadt
abeja;Biene
explicar;erklären / darlegen, erläutern
Extremo Oriente;Ferne Osten / der Ferne Osten
caloría;Calorie, Kalorie
hebraico, hebreo;hebräisch / Hebräer, Jude
fácil;geläufig, leicht, mühelos, nicht schwierig
Bulgaria;Bulgarien
cámara fotográfica, cámara;Fotokamera, Fotoapparat
atornillar;schrauben
uno y medio;anderthalb
calentar;heizen
Mallorca;Mallorca
lince;Luchs
arquitecto;Architekt, Baumeister
araña;Spinne
portugués;portugiesisch / Portugiesisch, portugiesische Sprache / Portugiese
aliento;Atem, Hauch
catálogo;Katalog, Verzeichnis
curvar;biegen, beugen, flektieren
abecé, alfabeto;Alphabet
enemigo;Feind
asegurar;versichern / behaupten, bestätigen, vergewissern
antigüedad;Altertum
envidia;Neid
tronco;Baumstamm / Stamm, Strunk
tetera;Teekanne / Teebüchse
algodón;Kattun / Baumwolle
circular;Rundschreiben
embotado, obtuso;stumpf / dumpf
superficie;Fläche
quejarse;klagen, sich beklagen, verklagen
ponerse;affektieren, künsteln, sich zieren / anziehen
pavo;Truthahn
pierna;Bein / Pfote, Unterschenkel
