hombre;Mensch / Mann
nada;nichts
siete;sieben
nueve;neun
día;Tag
señorita;Frau
navegar;fahren
grande;groß
niño;Kind
seis;sechs
decir;erwähnen, sagen
ocho;acht
cinco;fünf
para;für, um, um zu
ya que, puesto que, porque;da, weil / denn
hasta que, a que;bis
en;in, nach, zu / an, auf
diez;zehn
tres;drei
sin;ohne
por;in, nach, zu / hindurch
dos;zwei
saber;wissen
cuando, cuándo;als, wann, wenn
donde;wo
entre;unter, mitten unter, zwischen
para que;damit, dass
nadie, ninguno;keiner, keine, keines / niemand
cuál;der, die, das / welcher, welche, welches / wer
estar;sich aufhalten, sich befinden / sein
uva;Traube, Weintraube
enero;Januar
ley;Gesetz
piedra;Stein
que;der, die, das / welcher, welche, welches / dass / wer / als
gallina;Henne
centímetro;Centimeter, Zentimeter
minuto;Minute
alfiler;Stecknadel
merecer;verdienen
a menudo;häufig, oft
col;Kohl
turista;Tourist
hace poco;eben, gerade, just, soeben
España;Spanien
tijeras;Schere
cubrir;belegen, decken, bedecken, einhüllen, verhüllen, zudecken
tía;Tante
Jesucristo;Jesus Christus
conferencia;Beratung, Konferenz
hermanos;Geschwister
casi;beinahe, fast, nahezu, schier, ungefähr
una, uno, un;ein, eine, eins
celebrar una fiesta, celebrar;feiern
conversar;sich unterhalten
mandato, mando;Befehl
trabajar;arbeiten
sí;ja, doch
pájaro, ave;Vogel
patata;Erdapfel, Kartoffel
queso;Käse
prohibir;untersagen, verbieten
deuda;Ausstand, Schuld
señal;Signal
abrir;aufmachen, öffnen
cuchara;Löffel
alguien, alguno;ein gewisser, einer, irgend einer, irgendwer, jemand
tarde;Nachmittag / Abend
terreno;Gelände
Australia;Australien
gris;grau
de;aus, aus ... heraus
y;und
cuatro;vier
vino tinto;Rotwein
dirigir;adressieren / führen, leiten
esforzarse por, tratar de;trachten nach, sich anstrengen, sich bemühen
caballo;Gaul, Pferd
también;auch, ebenfalls, gleichfalls
soñar;träumen
autobús;Autobus, Bus
porvenir;Futur, Futurum, Zukunft
Holanda;Holland
litro;Liter
objeto;Ziel, Zweck / Ding
paraguas;Regenschirm
azúcar;Zucker
diez y seis;sechzehn
puerta;Tor / Tür
bromear;scherzen
venir;kommen
pimienta;Pfeffer
persona;Person
oro;Gold
gobernar, refrenar;herrschen, beherrschen, regieren
termómetro;Thermometer
italiano;italienisch / Italiener
pálido;blass, bleich, fahl
atrás;hinten / zurück, rückwärts
prometido;Bräutigam
hallarse, encontrarse;sich aufhalten, sich befinden
mundo;Welt
florecer;blühen
alemán;deutsch / Deutsch, deutsche Sprache / Deutscher
freno;Bremse
doce;zwölf
capaz;begabt, fähig, imstande, tüchtig
una vez;einmal
cursillo;Kurs, Kursus
cuerpo;Körper, Leib
nene, bebé;Baby
de nuevo, otra vez;abermalig, abermals, von neuem, wieder / wiederholt, zurück
treinta;dreißig
nieve;Schnee
norte;Norden
esta;dies
Portugal;Portugal
golpear;hauen, schlagen
actor;Schauspieler
encaje;Spitze
tormenta;Gewitter / Sturm
pequeño;gering, klein
nuevo;neu
lleno;voll
amargo;bitter
sur;Süden
padres, padre y madre;Eltern
Rin;Rhein
Irlanda;Irland
garganta;Gurgel, Kehle
disculpa;Entschuldigung
poco;ein wenig, etwas, ziemlich, ein bisschen / wenig
zona;Zone
exacto;exakt, genau
moverse;sich bewegen
tripulación;Mannschaft
tabique;Wand
nombre de pila;Vorname
juzgar;richten, urteilen, beurteilen
Francia;Frankreich
solamente;allein, nur
indole;Charakter, Gemüt
verduras;Gemüse
limitar;begrenzen, beschränken, einschränken
prima;Base, Kusine
novela;Roman
matrimonio;Ehe
rama;Ast, Zweig
destruir;vernichten, zerstören
examen;Examen
cerca;nahe
camino, vía;Weg, Bahn / Chaussee, Strecke
acaso;Zufall
cine;Kino
de veras, en realidad, verdaderamente;fürwahr, wahrhaftig, wahrlich, wirklich
foto, fotografía;Lichtbild, Bild, Foto
huésped;Gast
ocupado;besetzt
ser;sein
frase;Phrase, Redensart, Satz
edad;Alter
escribir;schreiben
conejo;Kaninchen
firma;Firma / Unterschrift
varios;verschiedene
museo;Museum
cierto;gewiss, sicher, bestimmt, zuversichtlich / ein gewisser, einer, irgend einer, irgendwer, jemand
campesino;Bauer
cacao;Kakao
dejar;lassen, überlassen, unterlassen, zurücklassen / hinterlassen
espacio;Raum
colina, loma;Halde, Hügel
anchas;Behaglichkeit, Komfort
enfrenar;bremsen
hablar;reden, sprechen
baño;Bad
tener lugar, realizarse;geschehen, passieren, sich ereignen, stattfinden, vorkommen
grado;Grad, Staffel, Stufe
faltar;fehlen, mangeln, ermangeln
desnudo;bloß, nackt
rosa;Rose
salud;Gesundheit
muerte;Tod
punto;Punkt
baúl;Koffer
trigo;Weizen
cantor;Berufssänger, Kantor, Sänger
al principio, en primer lugar, primeramente;erst, erstens, zuerst
más;mehr
esperanza;Hoffnung
enfermera;Krankenschwester
liso;eben, glatt, flach / geläufig
estudio;Studium
amiga;Freundin
oír;hören, vernehmen
angustia;Angst
china;chinesisch
rojo;rot
vacilar, titubear;schwanken, zaudern, zögern / taumeln, wackeln, zagen
resfriado;Erkältung
este;Orient, Osten
querer;gern haben, lieben, mögen / wünschen
meter;legen, setzen, stecken, stellen
playa;Strand
menú;Menü, Speisekarte
garaje;Garage
biblioteca;Bibliothek / Bücherei
nube;Wolke
en alta voz;laut
pedazo;Fleck, Stück
Italia;Italien
esquina;Ecke
comenzar, empezar;anbrechen, anfangen, beginnen
nadar;schwimmen
crema;Rahm, Sahne
funcionario;Beamter
holgazán;faul
tener que;müssen, sollen
proponer;beantragen, vorschlagen
temor;Angst, Furcht
avisar;warnen
precio;Preis
pedido;Auftrag, Bestellung
trece;dreizehn
maestra;Lehrerin
hacerse;geschehen, vorkommen, werden
gripe;Grippe
todavia, tampoco, aún;noch
papel;Papier
febrero;Februar
bailar;tanzen
gracioso;freundlich
diez y siete;siebzehn
vacío;leer
centro;Mittelpunkt, Zentrum / Mitte, Mittel
valor;Mut / Bedeutung, Geltung, Wert
deteriorar;beschädigen, Schaden zufügen, verderben, verletzen
cantar;singen
más adelante;dann, darauf, hinterher, nachher, später
edificio;Bau, Bauwerk, Gebäude
escribir a máquina;tippen
bestia;Tier
pago;Bezahlung, Zahlung
poner;anstellen / legen / setzen, stecken, stellen
o;oder
actual;aktuell, gegenwärtig
orgulloso;hochfahrend, hochmütig, stolz
estrecho;schmal
quince;fünfzehn
apunte;Aufzeichnung, Notiz
flor;Blume
agarrar;greifen, ergreifen
saborear;kosten, schmecken
vender;veräußern, verkaufen
hijo;Sohn
paz;Friede
madera, leño;Holz
vaca;Kuh
tierra;Boden, Erdboden, Erde, Grund, Land, Terrain
buenas tardes;Guten Abend
preocupar;beängstigen, beunruhigen
jamón;Schinken
diez y ocho, dieciocho;achtzehn
palo;Stab, Stock
kilo;Kilogramm
ministerio;Ministerium
hoy;heute
cabra;Ziege
pasaporte;Pass, Reisepass
pensamiento;Gedanke
desgracia, accidente;Unfall
misa;Gottesdienst, Messe
pelo;Haar
servicio;Gottesdienst / Bedienung, Dienst
zote;albern, dumm
entrante, próximo;bevorstehend, kommend, künftig, nächst, nahe / kommender, nächster
felicitar;beglückwünschen, gratulieren
trabajo;Arbeit
empresa;Gewerbe, Industrie
sistema;System
establecimiento de baños;Bad
beber;trinken
África;Afrika
palacio;Palast, Schloss
maduro;reif
botella;Flasche
hierro;Eisen
arte;Kunst
canal;Graben, Kanal
al fin, por fin, finalmente;endlich
mermelada;Konfitüre, Marmelade
polvo;Staub
pastelería;Konditorei
así;so, auf diese Weise
comercio;Handel / Geschäft
autor;Autor, Urheber, Verfasser / Schriftsteller
hotel;Hotel
limpio;blank, rein, reinlich, sauber
espanto;Angst
consejo;Rat, Ratschlag
isla;Eiland, Insel
jueves;Donnerstag
olor;Aroma, Duft / Geruch
hielo;Eis
mudar;sich ändern / ändern, tauschen, umändern, umtauschen, wechseln, umwechseln
llover;regnen
carnet, carné;Probe, Prüfung, Versuch
cepillo de dientes;Zahnbürste
amén de, además de;ausgenommen, außer
coche-cama;Schlafwagen
quieto;fromm, gelassen, ruhig, sanft
saludar, acoger;grüßen, begrüßen
aves;Geflügel
primero;erster, erste, erstes / erst, erstens, zuerst
luna;Mond
directamente;gleich, sogleich
programa;Programm
aceptar, admitir;annehmen, empfangen, genehmigen
viernes;Freitag
pero, mas;aber, allein, dagegen, sondern
precavido;bedächtig, behutsam, besonnen, vorsichtig
oficina;Amt, Büro
China;China
hermano;Bruder
dedo;Finger
en efecto;freilich, tatsächlich / fürwahr, wahrhaftig, wahrlich, wirklich
montar;eintreten
a lo largo de;entlang / hindurch
en otra parte;anderswo
guiar;führen, leiten, lenken
panadero;Bäcker
evidente;anschaulich, bestimmt, deutlich, klar
rey;König
terraza;Terrasse
motor;Motor
bocadillo;Brötchen / Sandwich
experiencia;Erfahrung
lunes;Montag
zapato;Schuh
noviembre;November
sorprender;befremden, überfallen, überraschen
robar;entwenden, stehlen
embarcación;Schiff
plata;Silber
descansar;ruhen, sich ausruhen
cerveza;Bier
té;Tee
título;Überschrift
llegada;Ankunft, Eintreffen
envolver, empacar;packen, einpacken
castigo;Bestrafung, Strafe
plaza;Platz
Satanás, Satán;Teufel
cargar;beauftragen, belasten, laden, aufladen, beladen
ropa;Kleider
jamás, no ... nunca, nunca;nie, niemals, nimmer
producto;Erzeugung, Produktion
dentro de;in, nach, zu
no;kein, nicht / nein
valle;Tal
regla;Regel
ir a buscar a;mitnehmen
principal;hauptsächlich, vorzüglich / Haupt-
evitar;ausweichen, entweichen, vermeiden
ligero;leicht
melón;Melone
morir;sterben
corto;kurz
ventana;Fenster
caballero, señor;Herr
mirar;anblicken, ansehen, blicken, schauen, zuschauen, zusehen
fuera de;außer, außerhalb
batalla;Kampf, Schlacht
en ésta, aquí;hier
servir;dienen, bedienen / auftragen
a veces;manchmal
círculo;Kreis
aceite;Öl
juego;Aufführung, Spiel
gente;Leute
abogado;Advokat, Anwalt, Rechtsanwalt
emigrante;Auswanderer, Emigrant
religión;Glaube, Religion
indicar, designar;andeuten, weisen, anweisen, zeigen / angeben, hinweisen
separación;Abteilung
película;Film
director;Direktor, Leiter, Vorsteher
casa;Haus
hora;Stunde, Uhr
señas;Adresse
verano;Sommer
jugar;spielen
especial;Spezial..., speziell
fumar, humear;rauchen
millón;Million
encuentro;Begegnung
bolso;Beutel, Sack
de poca profundidad, somero;flach
postre;Dessert, Nachtisch
al la derecha;rechts
voluntad;Wille
animal;Tier
mecánico;Mechaniker / Chauffeur, Fahrer
amistad;Freundschaft
criticar;begutachten, kritisieren
recibir;bekommen, empfangen, erhalten
Alemania;Deutschland
posible;möglich
todos;alle
comprar;kaufen, sich kaufen, einkaufen
otoño;Herbst
vivir;leben
escalera;Stiege, Treppe
majo;hübsch
sobrino;Neffe
poseer;besitzen
amarillo;gelb
corregir;berichtigen, korrigieren, verbessern
seguir;folgen
campesina;Bäuerin
orilla;Küste, Strand, Ufer, Gestade
perfume;Parfüm
cosa;Ding
afilado;grell, herb, scharf
hervir;kochen, sieden, brausen
importante;arg, bedeutend, bedeutsam, beträchtlich, erheblich, ernst, wichtig
cereza;Kirsche
comestibles;Gericht, Speise
cumpleaños;Geburtstag
interesante;interessant
culpable;schuldig
adelante;hervor, vorwärts
Inglaterra;England
cheque;Bankanweisung, Scheck
carne de ternera;Kalbfleisch
ciencia;Wissenschaft
arrendar;mieten
hermana;Schwester
carnicero;Fleischer
monte, montaña;Berg
aeroplano;Flugzeug, Flugmaschine
fiero;wild
a;an, in, nach, zu
de espaldas, boca arriba;rückwärts / zurück
escaño;Bank
periodista;Journalist
chocolate;Schokolade
especie;Abart, Art, Gattung, Schlag, Sorte
denuncia;Anzeige
tienda;Geschäft, Laden, Kramladen
escuchar;anhören, horchen, aushorchen, zuhören
número;Anzahl, Zahl / Nummer
hospital;Hospital, Krankenhaus / Hospiz
helada;Frost
sonido;Hall, Klang, Laut, Schall, Ton
delante de;jüngst, vor
fuerza;Gewalt, Kraft
progreso;Fortschritt
universal, general;allgemein
ocultar;bergen, verbergen, verhehlen, verheimlichen, verstecken
largo;lang
mes;Monat
dama;Dame, Herrin
dudar;zweifeln, bezweifeln
inconveniente;Schwierigkeit
alma;Gemüt, Seele
preparar;bereiten, vorbereiten
masa;Masse / Pasta, Paste, Teig
diciembre;Dezember
atraer;anziehen
descanso;Pause / Ruhe
aprovechar;dienen, nützen
martes;Dienstag
carnet de conducir;Fahrerschein, Führerschein
recoger;sammeln, einsammeln / fassen, nehmen
perro;Hund
depender;abhängen
ayer;gestern
ingeniero;Ingenieur
peligro;Gefahr
lección;Lehraufgabe, Lektion, Unterrichtsstunde
comienzo;Anfang, Beginn
llorar;weinen
prestar;borgen, entlehnen / leihen, darleihen, verleihen
afectar;berühren
paquete;Bündel, Päckchen, Paket
armario;Schrank
concernir;angehen, anlangen, betreffen
estudiar;lernen / studieren
cura;Behandlung / Geistliche, Pastor, Pfarrer, Priester
europeo;europäisch / Europäer
suizo;schweizerisch / Schweizer
convencer;überreden, überzeugen
casa de huéspedes, pensión;Fremdenheim, Pension
nacional;national
prisa;Hast / Geschwindigkeit, Tempo
ochenta;achtzig
otro;anderer, anders, sonst
cartero;Briefträger
balcón;Balkon
evidentemente;offenbar
desayuno;Frühstück
inquieto;heftig, unruhig / besorgt
ahí, allí;da, dort
padre;Pater, Vater
Noruega;Norwegen
componerse;bestehen aus
paciencia;Geduld
después;hinter, nach / dann, darauf, hinterher, nachher, später / danach
mejor;besser
lanzar, echar;schleudern, werfen
ya;bereits, schon
reina;Königin
insecto;Insekt
reconocer;anerkennen, wiedererkennen
veinte y uno;einundzwanzig
timón;Lenkrad, Ruder, Steuer
concurso;Preisausschreiben, Wettbewerb
en pos, al dorso, detrás;hinten
si;falls, wenn
Pascua;Ostern
retener;zurückhalten
abril;April
saltar;springen
ligar, liar;binden, verbinden
principio;Anfang, Beginn / Grundsatz, Prinzip
limón;Zitrone
paseo;Spaziergang
dormir;schlafen
lengua;Zunge / Sprache
central;zentral
ganar;erringen, gewinnen
pesado, dificil;schwer
en torno de, alrededor de;um, um ... herum
notoriedad;Bekanntschaft
cuchillo;Messer
maestro;Lehrer
intención;Absicht, Plan
pelota;Ball
en ninguna parte;nirgends
cielo;Himmel
colocar;einkleiden / legen / setzen, stecken, stellen
cocinera;Köchin
Suecia;Schweden
mucho;viel, zahlreich / viele
retrato, reproducción;Ansicht, Bild / Abbild, Figur, Gestalt
por separado;besonders, eigens
caliente;warm / heiß
encima de;oberhalb, über
viajar;reisen
cabeza;Kopf
canción;Gesang, Lied
fruta;Frucht
fábrica;Fabrik
artículo;Artikel / Abhandlung
contento;zufrieden
corazón;Gemüt, Herz
opinión;Äußerung, Gesinnung, Meinung
año;Jahr
calcetín;Halbstrumpf, Socke
riqueza;Reichtum
con motivo de;anlässlich, wegen
communicación;Bericht, Mitteilung, Nachricht
tener éxito, conseguir;Erfolg haben, gelingen
pintar;malen
abuelo;Großvater
empleo;Posten
vuelo;Flug
nariz;Nase
pregunta;Frage
cena;Mittagessen / Abendessen, Abendmahl
cesto;Korb
sonreír;lächeln
noche;Nacht / Abend
débil;flau, gelinde, schwach
concierto;Musikaufführung, Konzert
victoria;Sieg
Asia;Asien
Polonia;Polen
africano;afrikanisch / Afrikaner
metal;Metall
alegre;froh
la, el, los, las, lo;der, die, das
fecha;Datum
muchacha;Mädchen
a través de;jenseits, über, hinüber
permiso;Erlaubnis
taxi;Taxe, Taxi
nacionalidad;Staatsangehörigkeit
muy;sehr
sujetar;halten, aufhalten
sierra;Gebirge / Säge
dormirse;einschlafen
ambos, los dos;beide
antes;jüngst, vor / erst, erstens, zuerst
lado;Flanke, Seite
español;spanisch / Spanisch, spanische Sprache / Spanier
volver;zurückkehren / zurückkommen / drehen, kehren, umdrehen, umwälzen, wenden, umwenden
nieto;Enkel
no ... mas que, sólo;allein, bloß, erst, lediglich, nur
caer;fallen
carne de vaca;Rindfleisch
lecho;Bett
kilómetro;Kilometer
sentarse;sich setzen
chauffeur;Chauffeur, Fahrer
medida;Maß
bienvenida;Willkommen / willkommen
pez;Fisch
multiplicar;multiplizieren / vervielfältigen
único;allein, alleinig, bloß, einzig
enlace, empalme;Anschluss
inglesa;Engländerin
suelo;Boden, Grund / Diele, Fußboden
fisonomía, cara, faz, rostro;Angesicht, Antlitz, Gesicht
huelga;Streik
media;Strumpf
sandwich;Sandwich
domingo;Sonntag
uso;Benutzung, Gebrauch
tenga;da, hier, hier ist, siehe
gafas;Brille
peligroso;besorglich, gefährlich
manzana;Apfel
servilleta;Serviette
diferencia;Unterschied
acompañar;begleiten
haba;Bohne
grieco;Grieche
gasolina, bencina;Benzin
feo;hässlich
cólera;Ärger, Groll, Zorn / Cholera
melocotón;Pfirsich
guante;Handschuh
invierno;Winter
ancho;breit, weit
incluído;einschießlich, inklusive
hacer las compras;shoppen, einkaufen gehen
coche;Auto / Automobil / Karosse, Kutsche / Bahnwagen, Wagen, Waggon
apenas;kaum
conciso, sucinto;bündig, gedrängt, kurz
barba;Bart / Kinn
puro;blank, rein, reinlich, sauber
calidad, ralea;Beschaffenheit, Güte, Qualität
banco;Bank
habitación;Stube, Zimmer
espejo;Spiegel
decidirse;beschließen, entscheiden, sich entschließen
prometida;Braut
cortés;artig, galant, höflich
tela;Fleck, Stück / Stoff, Zeug
contestación, respuesta;Antwort
silla;Stuhl
legúa;Meile
tenedor;Gabel
frío;kalt
nevar;schneien
ejercicio;Übung
oreja;Ohr
herir;verletzen, verwunden
casarse;sich verheiraten / heiraten
camisa, camiseta;Hemd
reparación;Reparatur
venta;Verkauf
ruso;russisch / Russe
libro;Buch
tío;Onkel
algo;etwas, irgendetwas
pesar;schwer sein, wiegen
pariente, deudo;Verwandter
vendar;verbinden
amar;gern haben, lieben, mögen
alegría;Freude
república;Freistaat, Republik
y tambien, demás, así como;außerdem
plato;Gericht, Speise / Menü, Speisekarte / Schale, Schüssel / Teller
mercado de consumo;Markt
elevación, altitud, altura, cerro;Höhe
agencia de viaje;Reisebüro
moda;Mode, Weise
juventud;Jugend
dinero;Geld
segundo;zweiter, zweite / Sekunde
buenas noches;Gute Nacht
besar;küssen
ladrón;Dieb
antiguo;altertümlich, antik
inglés;englisch / Englisch, englische Sprache / Engländer
laborioso;arbeitsam, geschäftig
ojo;Auge
mañana pasado, pasado mañana;übermorgen
enteramente;ganz, gänzlich, gar
frente;Stirn
elección;Auslese, Wahl
vendedor;Ladengehilfe, Verkäufer
crisis;Krise
gallo;Hahn
color;Farbe
río;Fluss
arroz;Reis
reparar;reparieren
parecerse;ähneln, gleichen
expirar, terminarse;enden, endigen
cadena;Kette
oler;duften, riechen
calle;Straße
existir;bestehen, da sein, existieren, vorhanden sein
sello de correos;Briefmarke
mil;tausend
leche;Milch
arriba;oben
niebla;Nebel
estorbar, impedir;behelligen, hindern, behindern, stören, verhindern
fin;Ziel, Zweck / Ende
Países Bajos;Niederlande, die Niederlande
hermoso;herrlich, stattlich, wunderbar
población;Bevölkerung / Volk / Ort, Stadt
calefacción;Heizung
árbol;Baum
hombro;Achsel, Schulter
ganado;Herde, Vieh
por la tarde, por la noche;abends
negativo;negativ
quitarse;zurücklegen / abreisen, fortgehen
fuego;Feuer
obligar, forzar;zwingen
feminino;weiblich
país;Land
fresco;frisch, neu, unberührt / kühl
músico;Musiker
intentar;erproben, probieren, prüfen, versuchen
atmósfera;Atmosphäre
América meridional, América del Sur;Südamerika
bañar;baden
Europa;Europa
clase;Klasse / Abart, Art, Gattung, Schlag, Sorte
mapa;Karte
lechuga;Kopfsalat, Salat
escala;Leiter
fuera;äußerlich, draußen
avión;Flugzeug, Flugmaschine
dar la bienvenida;willkommen heißen, begrüßen
juez;Richter
buscar;holen / fassen, nehmen / ausschauen nach, suchen, aufsuchen
visitar;besuchen, einen Besuch abstatten
hacia atrás;zurück, rückwärts
enteblar, decentar;anbrechen, anfangen, beginnen
Navidad;Weihnachten
abuela;Großmutter
familia;Familie
miércoles;Mittwoch
parada del autobús;Bushaltestelle
conmover;bewegen, erschüttern, rühren / ergreifen, erregen, berühren
peinar;kämmen
función;Amt, Anstellung, Dienst
rodilla;Knie
trabajador, obrero;Arbeiter
modesto;anspruchslos, bescheiden
oeste;Abendland, Okzident, Westen
espalda;Rücken
olvidar;vergessen
juguete;Spielzeug
comer;essen, fressen, genießen, speisen
ratón;Maus
fatal;fatal, verhängnisvoll
pantalón;Hose
momentito, momento;Augenblick, Moment
teatro;Theater
apariencia;Anschein, Ansehen, Augenschein, Aussehen, Schein
cocinero;Köchin, Koch
no ... mas, ya ... no;nicht mehr
serie;Kette, Reihe, Serie
virtud;Energie, Tatkraft, Willenskraft / Gewalt, Kraft / Mut / Fähigkeit, Können, Macht, Vermögen / Tugend / Zucht
sentir;bedauern / empfinden, fühlen
gram;Gramm
estado;Staat
costar;kosten
conducir;führen, leiten / fahren
sol;Sonne
automóvil;Auto / Automobil
viento;Wind
oficio;Beruf, Gewerbe, Handwerk / Amt, Anstellung, Dienst
griego;griechisch
labio;Lippe
puente;Brücke
defender, proteger, protectar;begünstigen, schützen, beschützen, beschirmen
oficina de correos;Postamt
iglesia;Kirche
piso bajo;Erdgeschoss
fiebre;Fieber
mesa;Tisch
unos, unas;ein paar, einige, etliche, manche
ejemplo;Beispiel, Exempel
rubio;blond
detrás de, tras;hinter
pardo;braun / grau
de otra manera;andernfalls, anders, sonst
estrella;Stern
valer;aufwiegen, gelten, wert sein
gracias;Dank / danke
mojado;nass
cordero;Lamm
aire;Luft
mano;Hand
sorpresa;Überraschung
permitir;erlauben, gestatten
Austria;Österreich
aguja;Nadel
toalla;Handtuch
mar;Meer, See
herramienta, instrumento;Mittel, Werkzeug
camarero;Kellner
ultrajar, ofender, insultar;beleidigen, kränken, verletzen
baile;Ball / Tanz
interesar;interessieren
cinturón, pretina, cinto;Gurt, Gürtel
clima;Klima
electricidad;Elektrizität
acusación;Anklage, Beschuldigung / Anzeige
mosquito;Moskito, Stechmücke
sótano;Keller
estar de pie;stehen
a lo menos, al menos;wenigstens
condenar;verdammen, verurteilen
queque;Kuchen
sesenta;sechzig
dólar;Dollar
toro;Stier
esta tarde;heute abend
aceituna;Olive
política;Politik
soplar;blasen, wehen
pared;Mauer, Wand
sobre;Briefumschlag, Kuvert, Umschlag / an, auf
buzón;Briefkasten
guía;Führer / Reiseführer
universidad;Hochschule, Universität
música;Musik
cuidar de;versorgen
polvos;Puder / Pulver
estudiante;Student
cigarillo;Zigarette
llamarse;heißen
hallar, encontrar;antreffen, begegnen / finden, befinden, erachten, ermitteln, vorfinden
física;Physik
presente;Gegenwart / anwesend
pagar;zahlen, abzahlen, auszahlen, bezahlen, einzahlen, entrichten
mostrar;angeben, weisen, hinweisen, zeigen
hecho;Tatsache
contener;zügeln / enthalten / einschließen / herrschen, beherrschen, regieren
tempestad;Sturm
adiós;adieu, auf Wiedersehen, lebe wohl
ahora, actualmente;jetzt, gegenwärtig, nun
demasiado;zu, zu sehr, zu viel
estación;Jahreszeit, Saison / Bahnhof
sitio;Anstalt, Ort, Platz, Stelle / Fleck, Stätte, Terrain / Belagerung
trayecto, conducción;Fahrt
juntamente;aneinander, beisammen, gesamt, insgesamt, zugleich, zusammen
preciso;bestimmt, bündig, exakt, genau, präzis, präzise, pünktlich / recht, richtig, zutreffend
herida;Verwundung, Verletzung, Wunde
viajero;Reisende
escuela;Schule
atención;Achtung, Aufmerksamkeit
pato;Ente
de ninguna manera;auf keiner Weise, gar nicht, in keiner Weise, keineswegs
blusa;Bluse
técnica;Technik
pintor;Maler
Dinamarca;Dänemark
verdad;Wahrheit
Dios;Gott
costa;Küste
quitar, descolgar;abräumen, fortnehmen, entziehen, wegnehmen
paisaje;Landschaft
inventar;ausdenken, erdenken, erfinden
ángulo;Winkel
seña;Abzeichen, Anzeichen, Kennzeichen, Merkzeichen, Wink, Zeichen
homenaje, honor;Ehre
cuánto;wieviel
notar, apuntar, anotar;anmerken, aufschreiben, aufzeichnen, notieren
barrio;Stadtviertel, Viertel
guerra;Krieg
importe, suma;Betrag, Summe
recuerdo;Andenken, Erinnerung / Gedächtnis
idea;Gedanke, Idee, Vorstellung / Konzept / Auffassung, Wahrnehmung
bien;gut, wohl
carne de cerdo;Schweinefleisch
sopa;Suppe
lago;See
austriaco;österreichisch / Österreicher
esperar;vorhersehen / warten, erwarten, harren / hoffen
cargo;Anklage, Beschuldigung / Anzeige / Funktion, Tätigkeit, Wirksamkeit / Amt, Anstellung, Dienst
mercado;Markt, Messe / Marktplatz
origen;Abkunft, Abstammung, Herkunft, Ursprung / Anfang, Beginn
contra;an, gegen, gegenüber, wider
médico, doctor;Arzt, Doktor
línea;Linie, Strich, Zeile
traje de baño;Badeanzug
acta;Handlung, Tat
cristiano;Christ
cruz;Kreuz
península;Halbinsel
propina;Trinkgeld
marzo;März
de confianza;vertrauenswert, zuverlässig
acontecer;geschehen, vorkommen, werden / passieren, sich ereignen, stattfinden
bosque;Forst, Wald
emplear;anwenden, verwenden
extranjero;Ausländer / ausländisch
admirar;bewundern
parque;Park
de prisa;flugs, geschwind, schnell
huevo;Ei
encargarse de, emprender;unternehmen, veranstalten
lámpara;Lampe
culto;Gottesdienst
mayo;Mai
afán;Drang / Bemühung, Mühe, Mühsal, Versuch / Anstrengung
Rusia;Russland
parada;Haltestelle
tomate;Tomate
pintura;Farbe, Schminke / Bild, Gemälde
volante;Lenkrad, Ruder, Steuer / Steuerrad
generalmente;generell, überhaupt
por ejemplo;zum Beispiel
botón;Knopf
septiembre;September
con;in Begleitung von, mit, zusammen mit, zuzüglich
noticias;Neues, Neuheit, Neuigkeit / Auskunft, Bekanntmachung
blanco;weiß
tiempo;Zeit / Wetter, Witterung
lluvia;Regen
magnífico;herrlich, stattlich, wunderbar / blank
necesario;erforderlich, nötig, notwendig
palabra;Vokabel, Wort
económico;haushälterisch, ökonomisch, sparsam, wirtschaftlich
ayudar;beistehen, helfen
cuidado;Besorgnis, Sorge
a la izquierda;links
pipa;Pfeife
tal;solcher, solche, solches / derartiger, derartige, derartiges
América;Amerika
principiar;anfangen, beginnen
Grecia;Griechenland
raramente;selten
cuero;Leder
metro;Meter / U-Bahn, Metro
chino;chinesisch / Chinese
estar sentado;sitzen
barato;billig
café;Café
seco;trocken
vela;Kerze, Licht
conserje, portero;Hausmeister / Portier
farmacia, botica;Apotheke
taller;Atelier, Werkstatt
veinte;zwanzig
sueño;Schlaf / Traum
