Schreib mir mal ein paar Zeilen!;Drop me a line!
in kurzer Zeit;in a little while
Weiter im Programm!;On with the show!
sich wie im siebten Himmel fühlen;to walk on air
Darauf kann er stolz sein!;That's a feather in his cap!
Ich konnte nicht zu Worte kommen.;I couldn’t get a word in edge-wise.
Dienst haben;to be on duty
Sichelmond;crescent moon
gegen angemessenes Honorar;for an appropriate fee
tüchtig rangehen;to put a jerk in it
eine wichtige Nachricht;some news of importance
in der Klemme;in deep water
es für sich behalten;to keep it private
den Weg markieren;to blaze the trail
Ich langweilte mich furchtbar!;I was terribly bored!
Sie wird leicht seekrank.;She's a bad sailor.
eine ganze Menge;a good many
Er ist glattrasiert.;He's clean-shaven.
Jetzt redest du vernünftig!;Now you're talking sense!
Die Krankheit ist ansteckend.;The disease is contagious.
gelegentlich;once in a while
eine Wunde verbinden;to dress a wound
nicht die leiseste Ahnung haben von;not to have the vaguest notion of
Ärger machen;to give trouble
bei erster Gelegenheit;at the first opportunity
Qualitätswaren;quality good
am häufigsten gebraucht;most commonly used
Das ist mir einerlei.;I've no preference.
Das verbitte ich mir!;I won't stand that!
das Problem ist;the trouble is
Sei nicht so zimperlich!;Don't be so fussy!
Ein Unglück kommt selten allein.;It never rains but it pours.
nach Herzenslust;to the top of one's bent
warten lassen;to keep waiting
sehen, wie der Hase läuft;to see how the wind blows / to see which way the wind blows
Sie sehen gut aus!;You look well!
in Geldverlegenheit sein / knapp bei Kasse sein;to be pressed for money
Das können Sie uns nicht erzählen!;Tell us another!
Ich setzte meinen Willen durch.;I carried my point.
starker Verkehr;heavy traffic
Er verschlief den Tag.;He slept away the day.
Wie Sie es auch immer machen.;However you do it.
die heutigen Veranstaltungen;today’s arrangements
Das ist Haarspalterei!;That's splitting hairs!
Er ist auf dem Weg zur Besserung.;He's on the mend.
ein Wort im Vertrauen;a word in your ear
mangels / in Ermangelung;for want of
Die Sache lohnt nicht.;The game is not worth the candle.
Man kann nie wissen!;You never can tell!
Wir sind nahe verwandt.;We are near relatives.
Das ist nicht meine Aufgabe.;It isn't my job.
ein wesentlicher Unterschied;a major difference
stilecht;in proper style
über Stock und Stein;over rough and smooth
Sie haben es heraufbeschworen.;You've asked for it.
aus erster Hand / aus gut unterrichteter Quelle / direkt von der Quelle;straight from the horse's mouth
eine Wohnung suchen;to look for a flat
Er ist ein anständiger Mensch.;He's a decent fellow.
Er hat zu wenig Geld. / Ihm fehlt es an Geld.;He is shy of money [Am].
Das ist streng verboten!;That's strictly forbidden!
am Ende seiner Kraft;at the end of one's tether
Du kannst mir nichts vormachen!;You can't fool me!
stumm wie ein Fisch;as mute as a maggot
nebenan;next door to
Klugscheißer;know-all / smart aleck / whippersnapper / smart ass fam
Unterkunft und Verpflegung;board and lodging
Das ist zu viel gesagt.;It's carrying things too far.
ein Angebot unterbreiten;to submit an offer
Mangel an Arbeitskräften;manpower shortage
Jetzt sind Sie dran!;The ball's in your court!
Ich werde es nie schaffen.;I'll never make it.
Infolge des Regens konnten wir nicht kommen.;Owing to the rain we couldn't come.
Ich mache mir nichts daraus.;I don't care a fig for it.
Das ist Ansichtssache.;That's a matter of opinion.
(Pseudo-Dichter);would-be poet
So eine Schande!;What a shame!
Er hat den Fuß verstaucht.;He sprained his ankle.
auf dem Laufenden sein;to be up to date
alles auf den Kopf stellen;to turn everything topsy-turvy
auf diese Weise;by this means
etwas auf die Beine bringen;to get something going
Er machte ein langes Gesicht.;His face fell.
Er hat keinen Schwung mehr!;He has no kick left!
Seine Träume erfüllten sich.;His dreams came true.
Vorsicht Stufe!;Mind the step!
Der Sinn leuchtet mir nicht ein.;The sense escapes me.
Hauptverkehrszeit;rush hour
