expansion;Ausdehnung, Expansion
amphitheatre;Amphitheater
lime-tree, linden-tree;Linde, Lindenbaum
to penetrate;durchdringen, eindringen
incitement, stimulus;Anreiz, Stimulation
May bug;Maikäfer
majoram;Majoran
to burst into flames;in Flammen aufgehen
to clasp;raffen
adjectival;adjektivisch
stoical, stoic;stoisch
refashioning;Änderung, Transformation
decider, play-off;Finale
gun-carriage;Lafette
anise;Anis
estate;Bauernhof, Besitzung, Gut, Landgut, Immobilien
pudding;Pudding
flute;Flöte
to ford;durchwaten
to censor;zensieren
good-hearted;gutherzig
angel;Engel
hinge;Gelenkband, Scharnier
virtual;virtuell
hell;Gehenna, Hölle
acorn;Eichel
spades, prick;Pik, Stich
Cyprus;Zypern
silkworm;Maulbeerspinner, Seidenraupe
gunpowder;Pulver, Schießpulver
society;Klub, Gesellschaft, Sozietät
Far East;Ferne Osten, der Ferne Osten
to contort;drehen, ringen, winden
promise;Gelöbnis, Versprechen, Zusage
Saint John's-wort;Johanniskraut
cold sweat;Angstschweiß
Ethiopia;Äthiopien
to exonerate;entladen, entlasten
Albanian language;Albanisch
Mongolia;Mongolei
Bear Island;Bäreninsel
turtle-dove;Turteltaube
canvas;Schema, Stramin, Kanevas, Entwurf
infernal;höllisch, infernal
pivot;Drehpunkt
wild boar;Eber, Wildschwein
Basque Country, Basque country;Baskenland
venereal;venerisch, sexuell übertragbar
vital;vital
bas-relief, low relief;Basrelief
puff, swelling;Bausch, Puff
colossus;Koloss
skyjacker;Flugzeugentführer
to engulf, to swallow up;verschlingen
pressure;Andrang, Druck, Drang, Drücken, Pressen
lentil;Linse
sky blue;azurn, Azur
to amaze;in Verwunderung setzen, verwundern
chat;Geplauder
gourd;Kürbis
deputation;Abordnung, Delegation
draining;Abfluss
abscess;Abszess, Eiterbeule, Geschwulst
intestine;Darm
cargo;Schiffsfracht, Frachtgut, Transportgut, Ladung
clan;Sippschaft, Klüngel, Clan, Sippe, Abkunft, Geschlecht, Gezücht, Stamm
to elide;elidieren, weglassen, ausstoßen
to rig, to equip;ausrüsten
Canadian woman;Kanadierin
to saw;sägen
