the;der, die, das
and;und
a, an;ein, eine, pro
be (was - were - been) v;sein, sich befinden v
have (had - had) v;haben v
not;nicht
which;welche(r, -s), der, die, das
who;wer, wen, wem, der, die, das, welche(r, -s)
I;ich
these;die, diese, diese hier
those;die (da/dort), diese, diejenigen
me;mir, mich, ich
in;in, herein, hinein, ein
into;in, in ... hinein
become (became - become) v;werden v
with;mit
at;in, an, bei, auf, um
on;auf, an, über, mit, bei, in
one;eins, ein, eine, einzig, man
will v;wollen, werden (in der Zukunft) v
from;von, aus
of;von, um
for (preposition);für, als, zu, nach, auf
my;mein, meine
shall - should;sollen, werden, wollen (Hilfsverb)
too;auch, ebenfalls, zu
oneself;sich (reflexiv), selbst, allein
this - these;diese(r), dies, das
her;sie, ihr, ihr(e), sich
than;als
by;bei, in der Nähe, mit, durch, von, indem
to;zu, um zu, nach, bis
herself;sie selbst, sich, selbst, allein
that;dass
it;er, sie, es
no;nein, nicht, kein(e)
she;sie
he;er
also, too;auch, ebenfalls
how adv;wie adv
own v;besitzen, haben, zugeben, zugestehen, etw eingestehen v
that adj;das, jener, jene, jenes adj
or;oder, noch, auch, sonst
they;sie, man
as .. as;so ... wie
when;wann, wenn, als
ago;vor (zeitlich)
as;als, wie, da, weil, wie, so ... wie, genauso ... wie
can, could v;können, dürfen v
them;sie, ihnen
open adj;offen, geöffnet, auf, frei, ungeklärt, ungelöst adj
still adv;noch, immer noch, nach wie vor, trotzdem, noch adv
on adj;eingeschaltet, angestellt, an adj
until, till;bis
yet adv;bis jetzt, schon, noch, noch (nicht) adv
year n;Jahr, Lebensjahr n
him;ihn, ihm, er
off adj;aus, ausgeschaltet, abgeschaltet adj
like adj;ähnlich, gleich, wie, so adj
but;aber, jedoch, als, außer, mit Ausnahme von, sondern
up;auf, aufwärts, hinauf, herauf, hoch, nach oben, oben, bis
toward, towards;auf ... zu, ... zu, nach ... hin
say (said - said) v;sagen v
while;während, als, obwohl, wohingegen, wogegen
again adv;wieder, noch einmal, noch mal(s) adv
more;mehr, noch mehr, noch welche
after;hinter, nach, nachdem, danach
must v;müssen, dürfen v
young adj;jung, neu adj
only;einzige(r, s), bloß, nur, aber
through;durch
against;gegen
want v;etw wünschen, etw wollen, etw haben wollen v
good adj;gut adj
yourself - yourselves;sich, selbst, allein
under, underneath;unter
even adv;selbst, sogar, nahezu, noch adv
out;aus, hinaus, heraus, außen, draußen
wish v;(sich) wünschen, wollen v
much adj;viel adj
maybe adv;vielleicht, kann sein, kann sein dass adv
around;herum, rum, um, in der Nähe von
