planned performance;geplante Leistung, Leistungsvorgabe
sales organization;Verkaufsorganisation, Vertriebsapparat
final assembly;Endmontage
reinsurance;Rückversicherung
majority of creditors;Gläubigermehrheit
unability;Unfähigkeit
most-favoured nation clause;Meistbegünstigungsklausel
average daily earnings;Durchschnittstagesverdienst
annexed;beiliegend
identity;Identität
maturity;Fälligkeit
pledged securities;lombardierte Wertpapiere
fire protection;Feuerschutz
incidental earnings;gelegentliche Nebeneinkünfte
absent without leave;abwesend ohne erlaubnis
to dismiss an appeal;die Berufung zurückweisen
zero deviation;Nullabweichung
net wages;Nettolohn
take over liabilities;Verbindlichkeiten übernehmen
convert into money;zu Geld machen
actual time;tatsächlich gebrauchte Zeit, Istzeit, tatsächliche Zeit
working costs;Betriebskosten
anything provided in the rules;was auch immer in den Regeln vorgesehen ist
the circumstances of the time;den zeitlichen Umständen
roll-on roll-off traffic;Ro-Ro Verkehr
mutinous crew;meuternde Mannschaft
department chief, department head, department manager;Abteilungsleiter
customs inspection office;Zollabfertigungsstelle
entity accounting;Konzernbuchführung
lessor;Verpächter
conditional;bedingt
accumulated amount;aufgelaufener Betrag
average time;Durchschnittszeit
deteriorating balance of payments;sich verschlechternde Zahlungsbilanz
purchase;Kauf (auf Rechnung)
general wholesaler;Sortimentsgroßhändler
breach of contract;Vertragsbruch
own outright;voll und ganz besitzen
redundant;arbeitslos, überzählig
does not constitute any undertaking;begründet keine Verpflichtung
loss leader;Lockware
double-spaced;zweizeilig
bearish tendency;Baissetendenz
provided for in article A.3;in Artikel A.3 vorgesehen
the documents received;die erhaltenen Dokumente
alphabetical index;alphabetisches Verzeichnis
remittance for the amount payable;Überweisung des Betrags
intermediary trade;Zwischenhandel
less charges;abzüglich Gebühren
market-dominating;den Markt bestimmend
agreement between the parties;Übereinstimmung der Parteien
helicopter;Helikopter
growth in consumption;Konsumsteigerung
prerequisite;Vorbedingung
attractive salary;attraktive Bezahlung
reputed ownership;scheinbares Eigentum
directorship;Aufsichtsratsposten
plant;Pflanze, Fabrik (US), Fabrikanlage
close the proceedings;das Verfahren einstellen
spontaneous;spontan
hidden effect;versteckte Wirkung
in a buying mood;in Kaufstimmung
under the prevailing circumstances;unter den gegebenen Umständen
choice of employment;Stellenwahl
salvage;Bergungslohn, Bergung
earlier than the stipulated date;schon vor der festgesetzten Zeit
non-convertible;nicht umwandelbar
according to the directions;nach den Anweisungen
draw up;aufsetzen
if the address is incorrect;falls die Anschrift unrichtig ist
to do one's work;seine Arbeit verrichten
original assets;Anfangsvermögen
observe the law;das Gesetz beachten, einhalten
conditions of employment;Bedingungen der Beschäftigung
abandonment;Abtretung, Überlassung
violation of a provision;Verletzung einer Vorschrift
freight to be prepaid;Fracht im voraus zu zahlen
obvious;offensichtlich
stock exchange transactions;Börsengeschäfte
strike committee;Streikkomittee
vote of confidence;Vertrauensvotum
productive labour;produktive Arbeit
soundness;Bonität
protest;protestieren, Protest
theory of large samples;Theorie der großen Stichproben
expiration of a letter of credit;Ablauf des Akkreditivs
action;Handlung, Vorgehen, Klage, Prozess
slip;Zettel
contingent on;abhängig von
earnest money;Handgeld, Anzahlung
indirect advertising;indirekte Werbung
accident annuity;Unfallrente
in lieu of;anstatt
increase in cost;Zunahme der Kosten
in cipher;chiffriert
other than that mentioned;neben dem genannten
trading stamp;Rabattmarke
legal position;Rechtslage
female worker;Arbeiterin
request for arbitration;Antrag auf Einleitung eines Schiedsverfahrens
understaffed;unterbelegt, nicht genug Arbeitskräfte, unterbesetzt
price movement;Preisbewegung
refusal of an order;Nichtannahme eines Auftrags
keep up prices;Preise hochhalten
increase of the interest rate;Zinserhöhung
bonus;Bonus, Prämie, Gutschein, Sondervergütung
false trade description;falsche Warenbeschreibung
particulars;Einzelheiten
accounting practice;Buchhaltungspraxis
sleeping accommodation;Unterkunft für die Nacht
rest time;Ruhezeit
preferential;bevorzugt
block diagram;Blockschema
in keeping with the rules;in Befolgung der Regeln
deceit;täuschen, Täuschung
starting credit;Anlaufskredit
formal;der Form halber, förmlich
contain;enthalten
demolition works;Abbrucharbeiten
individually;persönlich, als Einzelner
production study;Fertigungsablaufstudie
moonlighting;Zweitbeschäftigung außerhalb der Arbeitszeit
annual meeting;Jahresversammlung
ultimate consumer;Endverbraucher
affect adversely;nachteilig beeinflussen
bogus money;Falschgeld
tear-down time, tearing-down time;Abrüstzeit
