accent;Akzent;Conflicts(MSW);Englisch
aggression  --  aggressive;Aggression, Aggressivität  --  aggressiv;Conflicts(MSW);Englisch
an act of war;eine kriegerische Handlung;Conflicts(MSW);Englisch
armed robbery  --  to rob s.o.;bewaffneter Raub  --  jdn. berauben;Conflicts(MSW);Englisch
arson attack;Brandanschlag;Conflicts(MSW);Englisch
asylum seeker;Asylsuchende/r, Asylbewerber/in;Conflicts(MSW);Englisch
attempt  --  to attempt sth.;Versuch  --  etwas versuchen;Conflicts(MSW);Englisch
background;Hintergrund, hier: Herkunft, Verhältnisse;Conflicts(MSW);Englisch
bomb attack;Bombenanschlag;Conflicts(MSW);Englisch
brutal;brutal, bestialisch;Conflicts(MSW);Englisch
burglary  --  burglar  --  to burgle a house/to *break into a house;Einbruch  --  Einbrecher/in  --  in ein Haus einbrechen;Conflicts(MSW);Englisch
case;Fall;Conflicts(MSW);Englisch
Civil Rights Movement;Bürgerrechtsbewegung;Conflicts(MSW);Englisch
clash  --  to clash;Konflikt, Zusammenstoß  --  zusammenstoßen, aneinander geraten;Conflicts(MSW);Englisch
community;Gemeinschaft, Gemeinde;Conflicts(MSW);Englisch
conflict;Konflikt;Conflicts(MSW);Englisch
counselling;psychologische Betreuung, Therapie;Conflicts(MSW);Englisch
court;Gericht;Conflicts(MSW);Englisch
crime;Verbrechen, Straftat;Conflicts(MSW);Englisch
criminal  --  crime;Verbrecher/in  --  Verbrechen;Conflicts(MSW);Englisch
critic  --  to criticize s.o./sth.;Kritiker/in  --  jdn./etwas kritisieren;Conflicts(MSW);Englisch
cruelty  --  cruel;Grausamkeit  --  grausam;Conflicts(MSW);Englisch
culture;Kultur;Conflicts(MSW);Englisch
custom = tradition;Sitte = Tradition;Conflicts(MSW);Englisch
demonstration;Demonstration;Conflicts(MSW);Englisch
discrimination;Diskriminierung;Conflicts(MSW);Englisch
equal rights;gleiche Rechte;Conflicts(MSW);Englisch
equality  --  equal;Gleichheit  --  gleich;Conflicts(MSW);Englisch
ethnic group;ethnische Gruppe;Conflicts(MSW);Englisch
ethnic minority;ethnische Minderheit;Conflicts(MSW);Englisch
explosion  --  to explode;Explosion  --  explodieren;Conflicts(MSW);Englisch
familiar;vertraut, bekannt;Conflicts(MSW);Englisch
fear  --  to fear s.o./sth.;Angst, Furcht  --  sich vor jdm./etwas fürchten;Conflicts(MSW);Englisch
force  --  to force s.o. to do sth.;jdn. zwingen etwas zu tun;Conflicts(MSW);Englisch
foreigner  --  foreign;Ausländer/in  --  fremd;Conflicts(MSW);Englisch
gang;Bande;Conflicts(MSW);Englisch
ghetto;Ghetto;Conflicts(MSW);Englisch
guilty (of a crime);(eines Verbrechens) schuldig;Conflicts(MSW);Englisch
handling stolen goods  --  to *steal sth.;Hehlerei  --  etwas stehlen;Conflicts(MSW);Englisch
hatred  --  to hate s.o./sth.;Hass  --  jdn./etwas hassen;Conflicts(MSW);Englisch
hatred of foreigners;Fremdenhass, Ausländerfeindlichkeit;Conflicts(MSW);Englisch
high security jail  --  to *go to jail/prison;Hochsicherheitsgefängnis  --  ins Gefängnis kommen;Conflicts(MSW);Englisch
hostage;Geisel;Conflicts(MSW);Englisch
hostility;Feindseligkeit;Conflicts(MSW);Englisch
immigrant;Einwanderer, Einwanderin;Conflicts(MSW);Englisch
immigration  <-->  emigration;Einwanderung  <-->  Auswanderung;Conflicts(MSW);Englisch
inferior  --  inferiority;minderwertig  --  Minderwertigkeit;Conflicts(MSW);Englisch
influx;Zustrom;Conflicts(MSW);Englisch
innocent;unschuldig;Conflicts(MSW);Englisch
integrated;eingegliedert, integriert;Conflicts(MSW);Englisch
migrand;Zuwanderer, Zuwanderin;Conflicts(MSW);Englisch
military might;militärische Stärke;Conflicts(MSW);Englisch
minority group;Minderheit;Conflicts(MSW);Englisch
motive;Motiv, Beweggrund;Conflicts(MSW);Englisch
mugging  --  to mug s.o.  --  mugger;Straßenraub  --  jdn. überfallen  --  Straßenräuber/in;Conflicts(MSW);Englisch
multi-cultural society;multikulturelle Gesellschaft;Conflicts(MSW);Englisch
murder  --  to murder s.o.  --  murderer;Mord  --  jdn. ermorden  --  Mörder/in;Conflicts(MSW);Englisch
native;Eingeborene/r, Ureinwohner/in;Conflicts(MSW);Englisch
