(TV channel;Kanal, Sender, Programm;The Media(MSW);Englisch
(TV) commercial;Werbespot;The Media(MSW);Englisch
actor, actress;Schauspieler, Schauspielerin;The Media(MSW);Englisch
advance;Fortschritt;The Media(MSW);Englisch
advertisement =advert, ad;Anzeige, Werbung;The Media(MSW);Englisch
advertising;Werbung;The Media(MSW);Englisch
article;Artikel;The Media(MSW);Englisch
attractive;attraktiv;The Media(MSW);Englisch
audience;Publikum, Zuschauer;The Media(MSW);Englisch
available;erhältlich;The Media(MSW);Englisch
best-seller;Bestseller;The Media(MSW);Englisch
box-office hit;Kassenschlager;The Media(MSW);Englisch
breakfast TV;Frühstücksfernsehen;The Media(MSW);Englisch
cameraman  --  camerawoman;Kameramann  --  Kamerafrau;The Media(MSW);Englisch
cartoon;Zeichentrickfilm;The Media(MSW);Englisch
chat room  --  to chat  --  chat;Chatraum  --  sich unterhalten, plaudern  --  Unterhaltung, Schwätzchen;The Media(MSW);Englisch
chat show;Talkshow;The Media(MSW);Englisch
choice  --  to *choose sth.;Auswahl  --  etwas (aus)wählen;The Media(MSW);Englisch
cinema (BE);Kino (= Filmkunst und Filmtheater);The Media(MSW);Englisch
colour magazine;Farbbeilage, Magazin;The Media(MSW);Englisch
comedy;Komödie;The Media(MSW);Englisch
commentator;Kommentator/in, Fernsehreporter/in;The Media(MSW);Englisch
commercial radio;Privatsender;The Media(MSW);Englisch
computer technology;Computertechnik;The Media(MSW);Englisch
connection;Verbindung;The Media(MSW);Englisch
contribution;Beitrag;The Media(MSW);Englisch
copy;hier: Exemplar;The Media(MSW);Englisch
crossword puzzle;Kreuzworträtsel;The Media(MSW);Englisch
current affairs;Aktuelles, (politische) Tagesthemen;The Media(MSW);Englisch
daily (paper);Tageszeitung;The Media(MSW);Englisch
digital TV;Digitalfernsehen;The Media(MSW);Englisch
director  --  to direct a film;Regisseur/in  --  bei einem Film Regie führen;The Media(MSW);Englisch
documentary;Dokumentarfilm;The Media(MSW);Englisch
DVD;DVD;The Media(MSW);Englisch
educational;hier: lehrreich, pädagogisch wertvoll;The Media(MSW);Englisch
e-mail ;E-Mail;The Media(MSW);Englisch
entertainment  --  to entertain s.o.;Unterhaltung  --  jdn. unterhalten;The Media(MSW);Englisch
episode;hier: Folge, Fortsetzung;The Media(MSW);Englisch
fantasy;Phantasie, Fantasy;The Media(MSW);Englisch
film () = movie (AE);(Spiel-) Film;The Media(MSW);Englisch
film industry;Filmindustrie;The Media(MSW);Englisch
film star  --  to star in a film;Filmstar  --  in einem Film eine Hauptrolle spielen;The Media(MSW);Englisch
filmmaker;Filmhersteller/in, Filmemacher/in;The Media(MSW);Englisch
game show;Fernsehquiz, Quizshow;The Media(MSW);Englisch
headline;Schlagzeile;The Media(MSW);Englisch
home page;"Homepage, ""Begrüßungsseite""";The Media(MSW);Englisch
horror film  --  horrible;Horrorfilm  --  schrecklich;The Media(MSW);Englisch
instant messenger service  --  instant  --  messenger;Dienst für den Online-Chat  --  sofortige/r/s  --  Bote, Botin;The Media(MSW);Englisch
interactive;interaktiv;The Media(MSW);Englisch
interview;Interview;The Media(MSW);Englisch
ITV (= Independent Television), the BBC (= British Broadcasting Corporation);britische Fernsehanstalten;The Media(MSW);Englisch
journalist  --  journalism;Journalist/in  --  Journalismus;The Media(MSW);Englisch
letter to the editor  --  editor;Leserbrief  --  Herausgeber/in;The Media(MSW);Englisch
link  --  to link sth. to sth. else;Verbindung, Glied (in einer Kette)  --  etwas mit etwas anderem verbinden;The Media(MSW);Englisch
local paper;Lokalzeitung;The Media(MSW);Englisch
local radio;Lokalradio, Lokalsender;The Media(MSW);Englisch
magazine;Zeitschrift, Magazin;The Media(MSW);Englisch
message;Nachricht, Botschaft;The Media(MSW);Englisch
monopoly;Monopol;The Media(MSW);Englisch
monthly (magazine);Monats-(Zeitschrift);The Media(MSW);Englisch
movie theatre (AE)  --  movie (AE);Kino (= Filmtheater);The Media(MSW);Englisch
national paper;überregionale Zeitung;The Media(MSW);Englisch
network;Netz(werk);The Media(MSW);Englisch
news (+ sing. verb);Nachrichten;The Media(MSW);Englisch
newsagent;Zeitungshändler/in;The Media(MSW);Englisch
newspaper / paper;Zeitung;The Media(MSW);Englisch
newsreader;Nachrichtensprecher/in;The Media(MSW);Englisch
newsstand;Zeitungsstand, -kiosk;The Media(MSW);Englisch
offline;nicht am Netz angeschlossen;The Media(MSW);Englisch
online provider;Anbieter von Online-Diensten;The Media(MSW);Englisch
outside broadcast  --  to *broadcast sth. (live);nicht im Studio produzierte Sendung  --  etwas (live) senden / übertragen;The Media(MSW);Englisch
PC (= personal computer);"PC (= ""Personalcomputer"")";The Media(MSW);Englisch
personal computer;PC  ;The Media(MSW);Englisch
photo / photograph;Foto, Aufnahme;The Media(MSW);Englisch
popular paper;Massenblatt, Boulevardzeitung;The Media(MSW);Englisch
presenter;Moderator/in;The Media(MSW);Englisch
producer;Produzent/in;The Media(MSW);Englisch
programme;Sendung;The Media(MSW);Englisch
radio;Radio, Rundfunk;The Media(MSW);Englisch
radio play;Hörspiel;The Media(MSW);Englisch
radio station;Rundfunkanstalt, Radiosender;The Media(MSW);Englisch
reader;Leser/in;The Media(MSW);Englisch
repeat  --  to repeat sth. ;Wiederholung  --  etwas wiederholen;The Media(MSW);Englisch
report  --  reporter;Bericht  --  Reporter/in;The Media(MSW);Englisch
review;Kritik, Besprechung (eines Films usw.);The Media(MSW);Englisch
role model;Vorbild;The Media(MSW);Englisch
satellite dish;Satellitenschüssel;The Media(MSW);Englisch
scandal;hier: Skandalgeschichten;The Media(MSW);Englisch
scene;Szene;The Media(MSW);Englisch
science fiction;Sciencefiction;The Media(MSW);Englisch
screen;Leinwand, Bildschirm;The Media(MSW);Englisch
sensational;sensationell;The Media(MSW);Englisch
serial;Fernsehserie;The Media(MSW);Englisch
serious paper;seriöse Zeitung;The Media(MSW);Englisch
silent film;Stummfilm;The Media(MSW);Englisch
soap (opera);Seifenoper, rührselige Familienserie;The Media(MSW);Englisch
special effects;Spezialeffekte;The Media(MSW);Englisch
studio;Studio;The Media(MSW);Englisch
Sunday paper;Sonntagszeitung;The Media(MSW);Englisch
supplement;hier: Beilage;The Media(MSW);Englisch
tabloid;(kleinformatige) Boulevardzeitung;The Media(MSW);Englisch
technician;Techniker/in;The Media(MSW);Englisch
television  --  to watch TV;Fernsehen  --  fernsehen;The Media(MSW);Englisch
the Media (plur.)  --  medium;die Medien  --  Medium;The Media(MSW);Englisch
the press;die Presse;The Media(MSW);Englisch
the public  --  public;die Öffentlichkeit  --  öffentlich;The Media(MSW);Englisch
the World Wide Web;"das Internet, das ""weltweite Netz""";The Media(MSW);Englisch
thriller;Thriller, Krimi;The Media(MSW);Englisch
to *be a TV addict;fernsehsüchtig' sein;The Media(MSW);Englisch
to *be based on sth.;auf etwas basieren;The Media(MSW);Englisch
to *be glued to the set;am Fernseher kleben;The Media(MSW);Englisch
to *be on;(im Fernsehen) laufen;The Media(MSW);Englisch
to *be online  --  to *go online  <-->  to *go offline;(im Netz) eingeloggt sein  --  sich einloggen  <-->  sich ausloggen;The Media(MSW);Englisch
to *be set in a place;an einem Ort spielen;The Media(MSW);Englisch
to *go on the air;gesendet werden, (im Radio) zu hören sein;The Media(MSW);Englisch
to *have access to sth.;Zugang zu etwas haben;The Media(MSW);Englisch
to *sit in front of the (TV) set;vor dem Fernseher sitzen;The Media(MSW);Englisch
to attract s.o.;jdn. anziehen;The Media(MSW);Englisch
to communicate sth.  -- communication;etwas übermitteln / vermitteln  --  Kommunikation;The Media(MSW);Englisch
to connect sth. (to sth. else)  --  to connect with sth.;etwas (mit etwas anderem) verbinden  --  eine Verbindung mit etwas herstellen;The Media(MSW);Englisch
to deliver sth.;etwas liefern / zustellen;The Media(MSW);Englisch
to download sth.;etwas herunterladen;The Media(MSW);Englisch
to hire sth. ;etwas mieten;The Media(MSW);Englisch
to idolize s.o.  --  idol;jdn. vergöttern  --  Idol;The Media(MSW);Englisch
to influence s.o./sth.  --  influence;jdn./etwas beeinflussen  --  Einfluss;The Media(MSW);Englisch
to listen to (sth. on) the radio  --  listener;(etwas im) Radio hören  --  Hörer/in;The Media(MSW);Englisch
to log into the (World Wide) Web  --  to log into a website;sich ins Internet einloggen  --  sich in eine Webseite einloggen;The Media(MSW);Englisch
to present sth.;hier: etwas präsentieren;The Media(MSW);Englisch
to print sth.;etwas drucken;The Media(MSW);Englisch
to print sth. out  --  a print-out;etwas ausdrucken  --  ein Ausdruck;The Media(MSW);Englisch
to produce a film;einen Film produzieren;The Media(MSW);Englisch
to publish sth.  --  publisher;etwas veröffentlichen  --  Verlag;The Media(MSW);Englisch
to save charges;Gebühren sparen;The Media(MSW);Englisch
to surf the net;im Internet surfen;The Media(MSW);Englisch
to switch off  <-->  to switch on;ausschalten  <-->  einschalten;The Media(MSW);Englisch
to switch over (to…);umschalten (zu…);The Media(MSW);Englisch
to turn the sound off;den Ton abschalten;The Media(MSW);Englisch
to turn up the volume;die Lautstärke aufdrehen;The Media(MSW);Englisch
to update sth.;etwas auf den neuesten Stand bringen;The Media(MSW);Englisch
to visit a (web)site on the net  --  the net  --  on the net;eine Seite im Internet aufrufen  --  das Internet  --  im Internet;The Media(MSW);Englisch
to zap (between channels);ständig umschalten;The Media(MSW);Englisch
topic  --  topical;Thema  --  aktuell;The Media(MSW);Englisch
transmission  --  to transmit sth.;Übertragung, Sendung  --  etwas senden;The Media(MSW);Englisch
trick photography;Trickfotografie - Trickaufnahmen;The Media(MSW);Englisch
TV guide;Fernsehzeitschrift;The Media(MSW);Englisch
TV play;Fernsehspiel;The Media(MSW);Englisch
variety show;Fernsehshow;The Media(MSW);Englisch
via;über, mit Hilfe von;The Media(MSW);Englisch
video;Video;The Media(MSW);Englisch
viewer;(Fernseh-) Zuschauer/in;The Media(MSW);Englisch
web camera;Webkamera;The Media(MSW);Englisch
website;Webseite;The Media(MSW);Englisch
weekly (magazine);Wochen-(Zeitschrift);The Media(MSW);Englisch
live;Direkt-, Live-;The Media(MSW);Englisch
