to *burn (sth.);(etwas ver-)brennen;World Problems(MSW);Englisch
to survive (sth.);(etwas) überleben;World Problems(MSW);Englisch
forest ;(großer) Wald;World Problems(MSW);Englisch
to sort (one's) rubbish;(seinen) Müll sortieren;World Problems(MSW);Englisch
pollution  --  to pollute sth.;(Umwelt-)Verschmutzung  --  etwas verschmutzen;World Problems(MSW);Englisch
to starve  --  starvation;(ver)hungern  --  Verhungern, Hungertod;World Problems(MSW);Englisch
endangered species  --  to endanger s.o./sth.;(vom Aussterben) bedrohte Art  --  jdn./etwas gefährden;World Problems(MSW);Englisch
waste product;Abfallstoff, Abfallprodukt;World Problems(MSW);Englisch
exhaust fumes;Abgase;World Problems(MSW);Englisch
AIDS;AIDS;World Problems(MSW);Englisch
alternative technology;alternative Technologie;World Problems(MSW);Englisch
bottle bank;Altglascontainer;World Problems(MSW);Englisch
rise  <-->  decline;Anstieg  <-->  Rückgang, Verschlechterung;World Problems(MSW);Englisch
poverty  --  poor;Armut  --  arm;World Problems(MSW);Englisch
atmosphere;Atmosphäre;World Problems(MSW);Englisch
nuclear power;Atomkraft, Kernenergie;World Problems(MSW);Englisch
equipment  --  to equip s.o./sth. (with sth.);Ausrüstung  --  jdn./etwas (mit etwas) ausrüsten;World Problems(MSW);Englisch
to *get out of control;außer Kontrolle geraten;World Problems(MSW);Englisch
to *become extinct = to die out;aussterben;World Problems(MSW);Englisch
to save petrol;Benzin sparen;World Problems(MSW);Englisch
population;Bevölkerung;World Problems(MSW);Englisch
natural resources;Bodenschätze, Naturschätze;World Problems(MSW);Englisch
the earth;die Erde;World Problems(MSW);Englisch
the world;die Welt;World Problems(MSW);Englisch
fertilizer  --  fertile;Dünger, Düngemittel  --  fruchtbar;World Problems(MSW);Englisch
energy;Energie;World Problems(MSW);Englisch
developing country;Entwicklungsland;World Problems(MSW);Englisch
global warming;Erwärmung der Erdatmosphäre;World Problems(MSW);Englisch
it's up to you;es liegt an dir, es hängt von dir ab;World Problems(MSW);Englisch
to share sth.;etwas (mit anderen) teilen;World Problems(MSW);Englisch
to use sth. up;etwas aufbrauchen;World Problems(MSW);Englisch
to absorb sth.;etwas aufnehmen / aufsaugen;World Problems(MSW);Englisch
to heat sth.  --  heat  --  heating;etwas erhitzen / (auf)heizen  --  Hitze  --  Heizung;World Problems(MSW);Englisch
to replace sth.;etwas ersetzen;World Problems(MSW);Englisch
to generate sth. = to produce sth.;etwas erzeugen;World Problems(MSW);Englisch
to *cut down on sth. ;etwas reduzieren;World Problems(MSW);Englisch
