to *take part (in sth.);(an etwas) teilnehmen;Young people's interests (MSW);Englisch
to work out;(an Geräten) trainieren;Young people's interests (MSW);Englisch
to paint (sth.);(etwas) malen;Young people's interests (MSW);Englisch
to practise (sth.)  --  practice;(etwas) üben  --  Übung, Training;Young people's interests (MSW);Englisch
to *lose (sth.);(etwas) verlieren;Young people's interests (MSW);Englisch
to *draw (sth.);(etwas) zeichnen;Young people's interests (MSW);Englisch
to tour around (a country);(in einem Land) herumreisen;Young people's interests (MSW);Englisch
piece (of music);(Musik-) Stück;Young people's interests (MSW);Englisch
play;(Theater-) Stück;Young people's interests (MSW);Englisch
energetic;aktiv, energiegeladen;Young people's interests (MSW);Englisch
amateur;"Amateur/in; Amateur-, Hobby-";Young people's interests (MSW);Englisch
attraction;Anziehungskraft, Attraktion;Young people's interests (MSW);Englisch
to *be into sth.;"auf etwas ""stehen"", an etwas (als Hobby) sehr interessiert sein";Young people's interests (MSW);Englisch
performance;Aufführung;Young people's interests (MSW);Englisch
trip;Ausflug, Reise;Young people's interests (MSW);Englisch
ballet;Ballett;Young people's interests (MSW);Englisch
to *stick to sth.;bei etwas bleiben;Young people's interests (MSW);Englisch
mountaineering;Bergsteigen;Young people's interests (MSW);Englisch
pursuit;Beschäftigung, Aktivität;Young people's interests (MSW);Englisch
bowling  --  bowling alley;Bowling, Kegeln  --  Kegelbahn;Young people's interests (MSW);Englisch
bridge / whist;Bridge- / Whistspiel (Kartenspiele);Young people's interests (MSW);Englisch
collecting stamps;Briefmarkensammeln;Young people's interests (MSW);Englisch
stage;Bühne;Young people's interests (MSW);Englisch
bungee jumping;Bungeespringen;Young people's interests (MSW);Englisch
coach  --  to coach s.o.;Coach, Trainer/in  --  jdn. trainieren;Young people's interests (MSW);Englisch
to play an instrument;ein Instrument spielen;Young people's interests (MSW);Englisch
facilities;Einrichtungen;Young people's interests (MSW);Englisch
ice-rink;Eisbahn, Schlittschuhbahn;Young people's interests (MSW);Englisch
ice-skating;Eislaufen, Schlittschuhlaufen;Young people's interests (MSW);Englisch
experienced  --  experience;erfahren  --  Erfahrung, Erlebnis;Young people's interests (MSW);Englisch
to perform sth.;etwas aufführen;Young people's interests (MSW);Englisch
to gain sth.;etwas erreichen / erhalten / gewinnen;Young people's interests (MSW);Englisch
