(bank) manager;Filialleiter/in (einer Bank);The world of work (MSW);Englisch
a steady job;ein sichererer Arbeitsplatz;The world of work (MSW);Englisch
accountant;Buchprüfer/in und Steuerberater/in;The world of work (MSW);Englisch
advantage  <-->  disadvantage;Vorteil  <-->  Nachteil;The world of work (MSW);Englisch
advertisement;Anzeige;The world of work (MSW);Englisch
an afternoon off  --  a morning off;ein freier Nach- / Vormittag;The world of work (MSW);Englisch
applicant;Bewerber/in;The world of work (MSW);Englisch
application;Bewerbung;The world of work (MSW);Englisch
apprentice  ;Lehrling;The world of work (MSW);Englisch
apprenticeship;Lehre ;The world of work (MSW);Englisch
assembly line;Fließband;The world of work (MSW);Englisch
baker;Bäcker/in;The world of work (MSW);Englisch
bank clerk;Bankangestellte/r;The world of work (MSW);Englisch
banking;Bankwesen;The world of work (MSW);Englisch
branch;Filiale, Zweigstelle;The world of work (MSW);Englisch
bricklayer;Maurer;The world of work (MSW);Englisch
bright;"intelligent, ""hell""";The world of work (MSW);Englisch
builder;Bauarbeiter/in;The world of work (MSW);Englisch
career;Laufbahn, Karriere, Beruf;The world of work (MSW);Englisch
careers officer;Berufsberater/in;The world of work (MSW);Englisch
careers service;Berufsberatung des Jobcentre;The world of work (MSW);Englisch
careers teacher;Lehrer/in, der/die für die Berufsberatung zuständig ist;The world of work (MSW);Englisch
certificate;Prüfungszeugnis;The world of work (MSW);Englisch
civil servant;Beamter, Beamtin;The world of work (MSW);Englisch
clerk;Büroangestellter/r;The world of work (MSW);Englisch
Co. (= Company);Firma, Gesellschaft;The world of work (MSW);Englisch
colleague;Kollege, Kollegin;The world of work (MSW);Englisch
creativity;Kreativität, schöpferische Phantasie;The world of work (MSW);Englisch
CV (= curriculum vitae);Lebenslauf;The world of work (MSW);Englisch
dentist;Zahnarzt/-ärztin;The world of work (MSW);Englisch
doctor;Arzt;The world of work (MSW);Englisch
editor;Redakteur/in;The world of work (MSW);Englisch
electrician;Elektriker/in;The world of work (MSW);Englisch
employee;Arbeitnehmer/in;The world of work (MSW);Englisch
employer  --  to employ s.o.;Arbeitgeber/in  -- jdn. beschäftigen;The world of work (MSW);Englisch
engineering;Maschinenbau;The world of work (MSW);Englisch
equipment (singular only!);Ausrüstung, Geräte, Gerätschaften;The world of work (MSW);Englisch
experienced  --  to *have experience;erfahren  --  Erfahrung haben;The world of work (MSW);Englisch
factory;Fabrik;The world of work (MSW);Englisch
farmer;Bauer/Bäuerin, Landwirt/in;The world of work (MSW);Englisch
finance;Finanzwesen;The world of work (MSW);Englisch
firefighter;Feuerwehrmann/-frau;The world of work (MSW);Englisch
firm;Firma;The world of work (MSW);Englisch
fisherman;Fischer;The world of work (MSW);Englisch
flight attendant;Flugbegleiter/in;The world of work (MSW);Englisch
full-time job;Vollzeitbeschäftigung;The world of work (MSW);Englisch
gardener;Gärtner/in;The world of work (MSW);Englisch
GCSE (General Certificate of Secondary Education);Abschlussprüfung für 16-jährige (etwas: Mittlere Reife);The world of work (MSW);Englisch
hairdresser;Friseur, Friseuse;The world of work (MSW);Englisch
handy with tools  --  tool;handwerklich geschickt  --  Werkzeug;The world of work (MSW);Englisch
income;Einkommen;The world of work (MSW);English
